Entity,Month,Total_lockdown_length,Total_stay_at_home_requirements,Lockdown_severity,Monthly_death_rates_per_million_people,Monthly_income_support,Monthly_workplace_closures_severity,previous_month_connected_lockdown,long_lockdown,Region,Sub.region,Indicator,Violence_Value,Population,Violence_per_million_people,lockdown_intensity_per_day,dv_percent_change_prev,pre_march_avg_dv,dv_percent_change_baseline,lag_deaths_per_million,lag_violence,Month_date,Year,Month_num,pandemic_period,is_pandemic,months_since_pandemic,policy_economic_interaction,policy_health_interaction,cumulative_stress_interaction,prev_lockdown_intensity,lockdown_escalation,economic_support_change,cumulative_lockdown_days,cumulative_deaths,baseline_dv,dv_change_from_baseline,dv_z_score,lockdown_z_score,economic_z_score,policy_response_type,avg_economic_support,avg_lockdown_intensity,high_economic_support,high_lockdown_intensity,policy_combination
albania,2019-10,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,112,2877239,38.9262066863406,0,0,35.2421192678119,0.104536489151874,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,35.24211926781194,10.453648915187372,-0.22695434307687629,-0.9362816758985391,-0.9025079870488365,Economic_Focus,34.5,1.5,0,0,Low_Lock_Low_Econ
bosnia and herzegovina,2019-10,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,30,3277152,9.15429006649676,0,0,11.6564626846725,-0.214659685863873,0,33.2605872416049,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,11.656462684672528,-21.465968586387348,-1.022397264886499,-0.5848701395456302,-0.5854299221871253,Economic_Focus,30.5,2.883333333333335,0,0,Low_Lock_Low_Econ
chile,2019-10,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,9903,19144605,517.273665348541,0,0,540.61183294197,-0.0431699163268853,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,540.61183294197,-4.316991632688527,0.02841107617872671,-0.5855400437691198,-0.37796447300922725,Gradual_Moderate,14.5,2,0,0,Low_Lock_Low_Econ
croatia,2019-10,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,176,4100719,42.9193026881383,0,0,45.2115836271639,-0.0507011866235177,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,45.21158362716392,-5.0701186623517724,-0.8910729909155795,-0.9419019710882414,-0.9423479229798976,Economic_Focus,53.5,1.3870967741935483,0,0,Low_Lock_Low_Econ
eswatini,2019-10,0,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,2790,1162233,2400.55135243966,0,0,2195.08480657493,0.0936030103480714,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,2195.084806574928,9.36030103480737,1.402148083697976,-1.0357901374181986,NA,Gradual_Moderate,0,1.9247311827956983,0,0,Low_Lock_Low_Econ
georgia,2019-10,0,0,0,0,0,0,0,0,Asia,Western Asia,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,452,3987805,113.34556228301,0,0,110.787764196093,0.0230873698506097,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,110.78776419609267,2.3087369850609734,0.1588331028591826,-0.408248290463863,NA,Gradual_Moderate,0,1.43478260869565,0,0,Low_Lock_Low_Econ
greece,2019-10,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,179,10413936,17.1885058636811,0,0,18.0719374499709,-0.0488841657810842,0,45.035805866293,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,18.07193744997086,-4.88841657810842,-0.591900701327786,-0.8722648675178575,-0.7883434421762952,Economic_Focus,39.4,1.587096774193548,0,0,Low_Lock_Low_Econ
guatemala,2019-10,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,74,17971382,4.11765772938331,0,0,4.08427131536128,0.00817438692098218,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,4.084271315361278,0.8174386920982178,-0.917567838799682,-1.044465935734187,-0.8016354838487111,Economic_Focus,22.166666666666668,2,0,0,Low_Lock_Low_Econ
guyana,2019-10,0,0,0,0,0,0,0,0,Americas,Latin America and the Caribbean,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,189,787215,240.08688858825101,0,0,189.528908874958,0.266756032171581,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,189.528908874958,26.675603217158134,1.383432332722684,-0.5479915243123415,NA,Gradual_Moderate,0,1.466666666666665,0,0,Low_Lock_Low_Econ
iceland,2019-10,0,0,0,0,0,0,0,0,Europe,Northern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,68,341628,199.04691652909,0,0,234.758275082839,-0.15211970074813,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,234.7582750828386,-15.211970074813003,-1.426580054420389,NA,-0.9707235388086428,Quick_Strong,54.666666666666664,0,0,0,Low_Lock_Low_Econ
latvia,2019-10,0,0,0,0,0,0,0,0,Europe,Northern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,14,1882408,7.43728245948806,0,0,6.79980110581766,0.0937499999999999,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,6.7998011058176555,9.374999999999986,1.0674831155667988,-1.044465935734187,-0.5447490084556729,Gradual_Moderate,20.666666666666668,1,0,0,Low_Lock_Low_Econ
lithuania,2019-10,0,0,0,0,0,0,0,0,Europe,Northern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,597,2715340,219.861969403463,0,0,235.918890452024,-0.0680611926319086,0,234.2248116258,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,235.91889045202439,-6.806119263190862,-0.9342871729058173,-0.8703882797784892,-0.8636009409526659,Quick_Strong,49,0.8333333333333334,0,0,Low_Lock_Low_Econ
mongolia,2019-10,0,0,0,0,0,0,0,0,Asia,Eastern Asia,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,22,3287242,6.69254043359144,0,0,6.75338171026045,-0.00900900900900912,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,6.753381710260454,-0.900900900900912,0.3318732591515314,-0.8703882797784892,-0.30151134457776363,Gradual_Moderate,4.5,0.5,0,0,Low_Lock_Low_Econ
myanmar,2019-10,0,0,0,0,0,0,0,0,Asia,South-eastern Asia,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,19,54473253,0.348795031572651,0,0,0.345123504924518,0.0106382978723405,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,0.3451235049245178,1.06382978723405,-0.6204957251736787,-0.8657053056756351,-0.3618136134933164,Gradual_Moderate,3,1.6049382716049383,0,0,Low_Lock_Low_Econ
namibia,2019-10,0,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,228,2548663,89.4586691139629,0,0,89.3017240804296,0.00175746924428831,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,89.30172408042962,0.17574692442883125,0.8168192641085436,-0.9368523269847576,-0.30151134457776363,Gradual_Moderate,0.3333333333333333,1.3655913978494616,0,0,Low_Lock_Low_Econ
new zealand,2019-10,0,0,0,0,0,0,0,0,Oceania,Australia and New Zealand,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,1000,4829021,207.081311098047,0,0,221.53558661269,-0.0652458403439875,0,0,2019-10-01,2019,10,pre_pandemic,0,NA,0,0,0,NA,NA,NA,0,0,221.5355866126902,-6.5245840343987505,0.43190179798937434,-0.7198328966992942,-0.9979442815571433,Economic_Focus,56,1.3030303030303032,0,0,Low_Lock_Low_Econ
