description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"On March 12,2020 Prime Minister Edi Rama announced a 72-hour curfew over the weekend, except for essential purposes such as to secure food and medicines.",2020-03-12,2020-03-12,NA,Albania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On March 20, 2020 Albania declared a lockdown which starts at 13:00 of 21 March 2020 and ends at 05:00 of March 23, 2020.",2020-03-20,2020-03-21,2020-03-23,Albania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
"The Goverment  extends nationwide lockdown  from April 1,2020. Lockdown extended indefinitely  curfew, closed businesses, etc",2020-04-01,2020-04-01,NA,Albania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"Albania on April 10, 2020 declared a lockdown that starts at 13:00 of April 11, 2020 and ends at 05:00 of April 13, 2020.",2020-04-10,2020-04-11,2020-04-13,Albania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
"Albania on April 10, 2020 declared a lockdown for every upcoming weekend starting from April 17, 2020. Every Friday from 17:30 until Monday, 05:00 people will not be allowed to move outside.",2020-04-10,2020-04-17,NA,Albania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"Starting from  November12,2020 the Goverment emposes public movement restriction during the hours between 10:00pm and 6:00am; except for work reasons, health care emergencies, or urgent needs. e-Albania portal must be used for special permission to move during this time.",2020-11-12,2020-11-12,NA,Albania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Exceptions (Please list exceptions in the text entry),NA
"The Ministry of Health announced updated movement restrictions that will go into effect starting December 24, 2020. There will be a daily curfew from 8:30pm to 6:00am, until January 4, 2021.",2020-12-24,2020-12-24,2021-01-04,Albania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),11
"The Ministry of Health announced updated movement restrictions that will go into effect starting 4 January, 2020. There will be a daily curfew from 22:00 to 6:00",2021-01-04,2021-01-04,NA,Albania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"The Ministry of Health announced starting from January 5, 2021, public movement is restricted during the hours between 10:00pm and 6:00am.",2021-01-05,2021-01-05,NA,Albania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"The Ministry of Health announced updated movement restrictions that will go into effect starting February 11, 2021, until further notice. There will be a daily curfew from 8:00pm to 6:00am. Public movement is restricted during these hours except for work reasons, health care emergencies, or urgent needs.",2021-01-03,2021-02-11,NA,Albania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"The Ministry of Health announced updated movement restrictions that will go into effect starting April 12, 2021, until further notice. There will be a daily curfew from 10:00pm to 6:00am.",2021-04-12,2021-04-12,NA,Albania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
