description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"On March 9, 2020, Inter-Agency Coordination Council categorically warns citizens of Georgia who have been instructed to self-isolate in the quarantine phase to demonstrate a high social responsibility and adhere to the rules of self-isolation in line with recommendations issued by the MOH to keep their family members and general public out of danger:",2020-03-09,2020-03-09,NA,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,NA
"On Marchn 16, 2020, government of georgia announced that individuals aged over 70 are recommended to strictly keep away from places of public gathering and to stay in isolation to the extent possible to avoid a potential threat to their personal health.",2020-03-16,2020-03-16,NA,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,NA
"On Marchn 16, 2020, government of georgia announced that individuals aged over 70 are recommended to strictly keep away from places of public gathering and to stay in isolation to the extent possible to avoid a potential threat to their personal health. UPDATE: The original policy ended on July 1 2021",2020-03-16,2020-03-16,2021-07-01,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,472
"On March 26, 2020, the government urged citizens to adhere to the restrictions imposed as a result of the state of emergency, to remain at home, and to refrain from going out unless there is an emergency. Otherwise, measures envisaged by law will be used in response.",2020-03-26,2020-03-26,NA,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,NA
"On March 26, 2020, the government urged citizens to adhere to the restrictions imposed as a result of the state of emergency, to remain at home, and to refrain from going out unless there is an emergency. Otherwise, measures envisaged by law will be used in response. UPDATE: The original policy ended on July 1 2021",2020-03-26,2020-03-26,2021-07-01,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,462
"On March 30, 2020, Government of Gerogia announced that citizens above 70 years of age will be forbidden from leaving their homes, unless they are going to their nearest grocery store, their nearest pharmacy, or their nearest medical facility.",2020-03-30,2020-03-30,NA,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On March 30, 2020, Government of Georgia announced that it will be forbidden to move on foot or using any other mode of transportation in the cities and throughout the entire country between the hours of 21:00 and 06:00.",2020-03-30,2020-03-30,NA,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On March 30, 2020, Government of Georgia announced that it will be forbidden to move on foot or using any other mode of transportation in the cities and throughout the entire country between the hours of 21:00 and 06:00. UPDATE: The original policy ended on July 1 2021",2020-03-30,2020-03-30,2021-07-01,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),458
"On April 10 Georgian government is shutting down Lentekhi Municipality of
Racha-Lechkhumi-Kvemo Svaneti region",2020-04-10,2020-04-10,NA,Georgia,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On April 10, 2020. Georgian government is shutting down Lentekhi Municipality of Racha-Lechkhumi-Kvemo Svaneti region UPDATE: The original policy ended 15 June, 2022",2020-04-10,2020-04-10,2022-06-15,Georgia,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),796
"On April 12, 2020, the Government of Georgia has decided to shut down Down Seven Villages in the rural communities of Gvara, Kvemo Kondidi, Mukhaestate, Legva, Skura, Tskhrapona and Tskavroka of Kobuleti Municipality in the Black Sea region of Adjara.",2020-04-12,2020-04-12,NA,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On April 13, 2020, The Georgian government has quarantined Khidiskuri village, part of Khashuri municipality in Shida Kartli region (situated to the northwest of Tbilisi), as two cases of COVID-19 have been confirmed in the village. In addition to restrictions enacted by the
state of emergency decree, following regulations will come into
force in Khidiskuri: entering and leaving the village will be banned;
Police force of the Ministry of Internal Affairs will ensure the
implementation and observance of quarantine restrictions;
Village residents can only leave their homes in case of
emergency;
Locals will be allowed to carry out farmwork in accordance
with the recommendations issued by the Ministry of Health;
Among the media outlets, only journalists of the Georgian
Public Broadcaster will be permitted to operate in the village.",2020-04-13,2020-04-13,NA,Georgia,National,1,Lockdown,NA,Other,Mandatory (Unspecified/Implied),NA
"On April 13 The Georgian government has quarantined Khidiskuri village, part
of Khashuri municipality in Shida Kartli region (situated to the
northwest of Tbilisi), as two cases of COVID-19 have been
confirmed in the village. In addition to restrictions enacted by the
state of emergency decree, following regulations will come into
force in Khidiskuri:
entering and leaving the village will be banned;
Police force of the Ministry of Internal Affairs will ensure the
implementation and observance of quarantine restrictions;
Village residents can only leave their homes in case of
emergency;
Locals will be allowed to carry out farmwork in accordance
with the recommendations issued by the Ministry of Health;
Among the media outlets, only journalists of the Georgian
Public Broadcaster will be permitted to operate in the village. UPDATE: On April 28 the Government of Georgia Eases Strict Lockdown
Measures in Village in
Khashuri Municipality",2020-04-13,2020-04-13,2020-04-28,Georgia,National,1,Lockdown,NA,Other,Mandatory (Unspecified/Implied),15
"On April 15, 2020, Georgian government introduces strict quarantine regime in Savaneti village of Bolnisi Municipality. Terms of the strict quarantine measures envisage the limitation of movement.",2020-04-15,2020-04-15,NA,Georgia,National,1,Lockdown,NA,Other,Mandatory (Unspecified/Implied),NA
"On April 23, 2020, the Georgian Government decided to shut down village Gvankiti of Terjola Municipality in western Imereti Region",2020-04-23,2020-04-23,NA,Georgia,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),NA
"On April 25, 2020, the Government of Georgia shuts down three villages – Khatisopeli, Vanati and Mushevani – have been shut down and placed under strict quarantine regime in order to stem “large-scale” spread of coronavirus,",2020-04-25,2020-04-25,NA,Georgia,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),NA
"On April 26, 2020, the Government of Georgia shuts down the town of Tetristkaro in Kvemo Kartli region. Police, charged with ensuring public order and strict quarantine measures, has already set up checkpoints at the entrances of the town.",2020-04-26,2020-04-26,NA,Georgia,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),NA
"On April 28, 2020, the Government of Georgia Eases Strict Lockdown
Measures in Lentekhi Municipality, Village in Khashuri Municipality. But strict Lockdown in Marneuli, Bolnisi and  four villages in Kobuleti continues",2020-04-28,2020-04-28,NA,Georgia,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),NA
"On May 15, 2020, Government of Georgia announced that the village of Geta in Bolnisi municipality of eastern Georgia has been put on strict lockdown earlier today after reporting 15 new cases of coronavirus late yesterday.",2020-05-15,2020-05-15,NA,Georgia,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On May 22, 2020, the Interagency Coordination Council led by the Prime Minister has made a decision to terminate the state of emergency, effective May 23.The ban prohibiting those aged 70 and over from leaving home is also terminated.",2020-05-22,2020-05-23,NA,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"Effective November 9, the Government of Georgia imposed movement restrictions in major cities between the hours of 10pm and 5am in an effort to curtail the COVID-19 pandemic.  During the restricted time, public and private transportation, including walking, is not permitted, unless it is for an essential need (for example, medical services).",2020-11-09,2020-11-09,NA,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"For the period from November 28 through January 31:
Movement restriction between the hours of 9pm and 5am. During the restricted time, public and private transportation, including walking, as well as using public space, are not permitted. Exceptions to this restriction will be made for New Year’s Eve (December 31) and Orthodox Christmas (January 6).",2020-11-28,2020-11-28,2021-01-31,Georgia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),64
