description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"On March 21, the Prime Minister of New Zealand announced: ""If you are at high-risk, you are advised to stay at home regardless."" Those that fall under high-risk are people over 70, people with medical conditions, people undergoing a treatment for cancer and blood conditions, pregnant women, residents of aged care facilities, and migrant and refugee community.",2020-03-21,2020-03-21,NA,New Zealand,National,1,Lockdown,NA,All (Travelers + Residents),Voluntary/Recommended but No Penalties,NA
"On March 21, the Prime Minister of New Zealand announced: ""If you are at high-risk, you are advised to stay at home regardless."" Those that fall under high-risk are people over 70, people with medical conditions, people undergoing a treatment for cancer and blood conditions, pregnant women, residents of aged care facilities, and migrant and refugee community. This policy ended on April 26. UPDATE: The original policy recommended high-risk people to stay at home. This policy ended and has been qualitativly changed to allow high-risk people to leave their homes.",2020-03-21,2020-03-21,2020-04-26,New Zealand,National,1,Lockdown,NA,All (Travelers + Residents),Voluntary/Recommended but No Penalties,36
"New Zealand's West Coast District Health Board Medical Director Dr. Graham Roper announced on March 25, 2020 significant temporary changes to the DHB’s visitor policy in response to COVID-19.Restriction at the Grey Base Hospital include:Emergency Department – one support person only to accompany people presenting to EDAll remaining inpatient wards and services – no more than one visitor per patient at any one time.No children under 16 to come hospital visiting.Exceptions: Clinical Nurse Managers can assess requests on a case-by-case basis. For example, exceptions will be considered on compassionate grounds for end of life care.Visitors will not be allowed to visit any COVID-19 patients.Visiting hours at Buller Health have been restricted from 2pm – 4pm with a limit of one family visitor per patient for 15 minutes.Face-to-face GP appointments across the West Coast district will not be accepted unless the patient has first had a remote consultation via telephone, video, email or text",2020-03-25,2020-03-25,NA,New Zealand,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On April 26, New Zealand announced that high-risk people no longer advised to stay home, but may go work, exercise, access essential service, and ""expand your bubble a small amount to bring in local close family / whānau, isolated people or caregivers.""",2020-04-26,2020-04-26,2020-04-26,New Zealand,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,0
"On April 26, New Zealand announced that high-risk people no longer advised to stay home, but may go work, exercise, access essential service, and ""expand your bubble a small amount to bring in local close family / whānau, isolated people or caregivers."" This policy ended on May 12. UPDATE: The original policy allowed high-risk people to leave their homes and expand their ""bubble."" This policy has ended and qualitatively changed to remove the ""bubble system.""",2020-04-26,2020-04-26,2020-05-12,New Zealand,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,16
"New Zealand's Southern District Health Board Facilities Visitor Policy for Level 3 was confirmed on April 29, 2020. All inpatients will be able to nominate one person (ideally from their extended ‘bubble’) who will be allowed to visit them while they are in hospital.Effective from Thursday 30 April, 2pm:-Inpatients can nominate one person who will be allowed to visit them in hospital-This person will be allowed to visit once a day",2020-04-29,2020-04-30,NA,New Zealand,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"New Zealand's Southern District Health Board Facilities Visitor Policy for Level 3 was confirmed on April 29, 2020. All inpatients will be able to nominate one person (ideally from their extended ‘bubble’) who will be allowed to visit them while they are in hospital.

Effective from Thursday 30 April, 2pm:
-Inpatients can nominate one person who will be allowed to visit them in hospital
-This person will be allowed to visit once a day UPDATE: New Zealand's Southern District Health Board Facilities Visitor Policy for Level 3 was confirmed on April 29, 2020. All inpatients will be able to nominate one person (ideally from their extended ‘bubble’) who will be allowed to visit them while they are in hospital.Effective from Thursday 30 April, 2pm:-Inpatients can nominate one person who will be allowed to visit them in hospital-This person will be allowed to visit once a day",2020-04-29,2020-04-30,2020-05-15,New Zealand,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),15
"On 15 July, New Zealand Prime Minister Ardern released the Government's COVID-19 response framework, which would involve localized lockdowns in the event there was another community-wide outbreak of COVID-19.",2020-07-15,2020-07-15,2020-07-17,New Zealand,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
"On August 12, New Zealand's Director-General of Health declared certain populations to (1) isolate at their usual home and (2) not go out to work, and remain isolated, until they are contacted by their national contact tracing service, and they receive further direction. This direction applies to any employees or contractors, visitors in the last 14 days, and any people who ordinary live with these employees, or contractors, or visitors at the following two places: Americold in Mt Wellington and Finance Now (the Dominion Road branch in Auckland).",2020-08-12,2020-08-12,NA,New Zealand,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On the 12th of August, 2020, Auckland, New Zealand is moving to Alert Level 3 for a period of 3 days. ""At level 3 you are asked to stay at home in your bubble other than for essential movements such as going to the supermarket or local recreation."" The Alert Level 3 will end on 14th August, 2020.",2020-08-11,2020-08-12,2020-08-14,New Zealand,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
