description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"On March 15th 2020, the Peruvian government announced an ""obligatory social isolation"" (Lockdown) for all citizens/residents. They can only leave their homes for eight main reasons, related to the production and purchase of groceries; pharmaceutical products and first necessity goods; health-related visits to health centres; return to main residence; assistance and care of elderly, children, adolescents and handicapped or vulnerable people; media (journalists) and call centers; fuel (distribution and purchase); and providing and using financial services (e.g. banks).",15/03/2020,16/03/2020,30/03/2020,Peru,National,1,Lockdown,NA,All Residents (Citizen Residents +Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)",14
"The Government of Peru announced the mandatory social lockdown of people in their homes from April 13th to April 26th, 2020 during the extension of the State of National Emergency all day on Sundays. Additionally, only one person per family unit is permitted to travel Monday through Saturday for necessities such as food, pharmaceutical products, and financial procedures.
",09/04/2020,13/04/2020,26/04/2020,Peru,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
"During the State of National Emergency in Peru that has been extended from May 11th, 2020 to May 24th, 2020, people in risk groups for COVID-19 must stay in their homes for lockdown except for urgent medical care, emergencies and food and medicine, only if they do not have a support person for this. Additionally, they may leave to collect a government benefit, pension, or to work as long as they assume responsibility voluntarily. The people in risk groups include people over sixty-five (65) years of age and those with comorbidities such as high blood pressure, diabetes, cardiovascular diseases, chronic lung disease, cancer, and others.",09/05/2020,11/05/2020,24/05/2020,Peru,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",13
"During the extension of the state of National Emergency from May 11th 2020 to May 24th 2020, children fourteen and under can only go out with a person of their household of the legal age who ensures that all provisions are followed. The provisions are that a daily walk cannot exceed thirty minutes, exceed 500 meters away from their home, and that at least 2 meters of social distancing is required.",09/05/2020,18/05/2020,24/05/2020,Peru,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
"The Government of Peru announced the mandatory social lockdown of people in their homes from May 25th to June 30th, 2020 during the extension of the State of National Emergency all day on Sundays. Additionally, only one person per family unit is permitted to travel Monday through Saturday for necessities such as food, pharmaceutical products, and financial procedures.
",23/05/2020,25/05/2020,30/06/2020,Peru,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),36
"During the State of National Emergency in Peru that has been extended from May 11th, 2020 to May 24th, 2020, people in risk groups for COVID-19 must stay in their homes for lockdown except for urgent medical care, emergencies and food and medicine, only if they do not have a support person for this. Additionally, they may leave to collect a government benefit, pension, or to work as long as they assume responsibility voluntarily. The people in risk groups include people over sixty-five (65) years of age and those with comorbidities such as high blood pressure, diabetes, cardiovascular diseases, chronic lung disease, cancer, and others. UPDATE: This policy has been extended from May 25th to June 30th, 2020.",23/05/2020,25/05/2020,30/06/2020,Peru,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",36
"During the extension of the state of National Emergency from May 11th 2020 to May 24th 2020, children fourteen and under can only go out with a person of their household of the legal age who ensures that all provisions are followed. The provisions are that a daily walk cannot exceed thirty minutes, exceed 500 meters away from their home, and that at least 2 meters of social distancing is required. UPDATE: This policy has been extended from May 25th to June 30th, 2020.",23/05/2020,25/05/2020,30/06/2020,Peru,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),36
"During the extension of the state of National Emergency from May 11th 2020 to May 24th 2020, children fourteen and under can only go out with a person of their household of the legal age who ensures that all provisions are followed. The provisions are that a daily walk cannot exceed thirty minutes, exceed 500 meters away from their home, and that at least 2 meters of social distancing is required. UPDATE: This has been extended from the original date to May 25th to June 30th, 2020.",23/05/2020,25/05/2020,30/06/2020,Peru,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),36
"On 26th June 2020, the Government of Peru announced the end of the nationwide lockdown and the start of a targeted lockdown per region, where different measures will be enforced. The measure begins 1st July, 2020 initial list of regions includes Arequipa, Ica, Junín, Huánuco, San Martín, Madre de Dios and Áncash, and will be reviewed constantly. Also, those aged 14 or less and 65 or over must remain locked down, regardless of their region of residence.",26/06/2020,01/07/2020,31/07/2020,Peru,National,1,Lockdown,NA,All Residents (Citizen Residents +Foreign Residents),Mandatory (Unspecified/Implied),30
"On 26th June 2020, the Government of Peru announced the end of the nationwide lockdown and the start of a targeted lockdown per region, where different measures will be enforced. The measure begins 1st July, 2020 initial list of regions includes Arequipa, Ica, Junín, Huánuco, San Martín, Madre de Dios and Áncash, and will be reviewed constantly. Also, those aged 14 or less and 65 or over must remain locked down, regardless of their region of residence. UPDATE: The targeted lockdown was extended on 31st July, 2020, for an additional month, but the provinces listed changed.",26/06/2020,01/07/2020,31/07/2020,Peru,National,1,Lockdown,NA,All Residents (Citizen Residents +Foreign Residents),Mandatory (Unspecified/Implied),30
