description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"In Spain's La Rioja, the regional health minister  the central government’s representative in La Rioja said the situation called for officers from the national police force and the Guardia Civil to be deployed to “guarantee the correct observance of home isolation”.",2020-03-07,2020-03-07,NA,Spain,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
Spain (Haro) is enforcing to lock down entire blocks of a neighbourhood in Haro starting march 7,2020-03-07,2020-03-07,NA,Spain,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On March 9 2020, the Interterritorial Council of the National Health System announce that for areas where there is significant community transmission, it is recommended that all older people who suffer from chronic, multiple pathological diseases or with congenital or acquired immunosuppression states that limit the exits from their home or residence.

At the moment, only the Community of Madrid, the city of Vitoria and the town of Labastida are in this situation.",2020-03-09,2020-03-09,NA,Spain,National,1,Lockdown,NA,All (Travelers + Residents),Voluntary/Recommended but No Penalties,NA
"March 11, 2020. La Rioja recommended homeoffice for the jobs that have the possibility. Does who do not have the option, the regional government recommended flexible schedules and escalonated shifts.",2020-03-11,2020-03-11,2023-12-02,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,1361
"On March 11, 2020, the regional government of Murcia recommended any person with symptoms of acute respiratory infection, cough, fever or low-grade fever should stay at home and call 1-1-2. In addition, the regional government has enabled the telephone number 900121212 to answer questions.",2020-03-11,2020-03-11,2023-12-02,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),1361
"Government of Castilla and Leon published the list of preventive measures of a coercive nature for the entire population and the territory of the Community of Castilla y León on March 11. Among others, these include restriction of access of companions and visitors to public and private health centers. These are restricted to the minimum necessary to guarantee the right of minimum accompaniment of the patient who requires it, except in individual circumstances in which additional measures of care and socialisation are applied. Visits of minors to health centers are prohibited.",2020-03-11,2020-03-12,2020-03-26,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
"March 12, 2020. La Rioja (Spain) announces that people with COVID-19 should remain in lockdown and take the medical prescriptions given by the adequate entity.",2020-03-12,2020-03-12,NA,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"Government of Castilla and Leon published the list of preventive measures of a coercive nature for the entire population and the territory of the Community of Castilla y León on March 11. Among others, these include restriction of access of companions and visitors to public and private health centers. These are restricted to the minimum necessary to guarantee the right of minimum accompaniment of the patient who requires it, except in individual circumstances in which additional measures of care and socialisation are applied. Visits of minors to health centers are prohibited.

This policy ended on March 14, with the national state of alarm. UPDATE: The original policy was supposed to end on March 26, but it ended on March 14 when Royal Decree 463/2020 that declared the state of alarm on the whole territory of Spain was singed and published.",2020-03-11,2020-03-12,2020-03-14,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
"March 12, 2020. People with covid 19 should remain in lockdown and taking the medical prescriptions given by the adequate entity, according to La Rioja's government. UPDATE: The policy's end date has been found - May 9th, 2021.
",2020-03-12,2020-03-12,2021-05-09,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),423
"Due to the implementation of the Plan territorial de Protección civil de la región de Murcia, people are only allowed to go out only if it is for work or health reasons.",2020-03-13,2020-03-13,NA,Spain,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
