"Entity","Month","Total_lockdown_length","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support","Monthly_workplace_closures_severity","Region","Sub.region","Indicator","n_missing","Violence_Value","norm_lockdown","norm_income","norm_workplace","norm_death","norm_violence","Month_date"
"albania","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,111,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.339867753983519,2020-01-01
"albania","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,90,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.351300025867531,2020-02-01
"albania","2020-03",19,38,3.53661568,13,42,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,90,0.197116903391577,-0.358088374202609,0.165660644581578,-0.275409925726949,-0.351300025867531,2020-03-01
"albania","2020-04",30,60,7.07323136,46,60,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,96,0.982396268872086,0.956320247735476,0.767885811354607,-0.236053289499835,-0.348033662472099,2020-04-01
"albania","2020-05",31,62,1.06098471,56,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,127,1.05378530209759,1.35462589074702,0.834799718773832,-0.302959571019158,-0.331157451595701,2020-05-01
"albania","2020-06",30,30,7.78055448,30,60,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,159,0.982396268872086,0.319031218917011,0.767885811354607,-0.228181962432466,-0.313736846820064,2020-06-01
"albania","2020-07",31,31,33.59784928,31,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,158,1.05378530209759,0.358861783218165,0.834799718773832,0.059121485764584,-0.314281240719303,2020-07-01
"albania","2020-08",31,31,44.20769646,31,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,174,1.05378530209759,0.358861783218165,0.834799718773832,0.177191396003892,-0.305570938331484,2020-08-01
"bosnia and herzegovina","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,73,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.360554722154588,2020-01-01
"bosnia and herzegovina","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,38,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.37960850862794,2020-01-01
"bosnia and herzegovina","2020-01",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,33,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.382330478124134,2020-01-01
"bosnia and herzegovina","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,95,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.348578056371337,2020-02-01
"bosnia and herzegovina","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,57,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.369265024542406,2020-02-01
"bosnia and herzegovina","2020-02",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,55,-1.15927472789294,-0.875885710117612,-1.23953141122216,-0.314766561954062,-0.370353812340883,2020-02-01
"bosnia and herzegovina","2020-03",12,36,3.74441847,31,45,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,88,-0.302606329186929,0.358861783218165,0.266031505710416,-0.273097427125741,-0.352388813666008,2020-03-01
"bosnia and herzegovina","2020-03",12,36,3.74441847,31,45,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,49,-0.302606329186929,0.358861783218165,0.266031505710416,-0.273097427125741,-0.373620175736315,2020-03-01
"bosnia and herzegovina","2020-03",12,36,3.74441847,31,45,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,44,-0.302606329186929,0.358861783218165,0.266031505710416,-0.273097427125741,-0.376342145232509,2020-03-01
