"Entity","Month","Total_lockdown_length","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support","Monthly_workplace_closures_severity","Region","Sub.region","Indicator","n_missing","Violence_Value"
"albania","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,112
"albania","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,81
"albania","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,113
"albania","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,111
"albania","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,90
"albania","2020-03",19,38,3.53661568,13,42,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,90
"albania","2020-04",30,60,7.07323136,46,60,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,96
"albania","2020-05",31,62,1.06098471,56,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,127
"albania","2020-06",30,30,7.78055448,30,60,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,159
"albania","2020-07",31,31,33.59784928,31,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,158
"albania","2020-08",31,31,44.20769646,31,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,174
"bosnia and herzegovina","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,109
"bosnia and herzegovina","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,30
"bosnia and herzegovina","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,27
"bosnia and herzegovina","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,104
"bosnia and herzegovina","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,32
"bosnia and herzegovina","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,30
"bosnia and herzegovina","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,131
"bosnia and herzegovina","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,34
"bosnia and herzegovina","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,31
"bosnia and herzegovina","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,73
"bosnia and herzegovina","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,38
"bosnia and herzegovina","2020-01",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,33
"bosnia and herzegovina","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,95
"bosnia and herzegovina","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,57
"bosnia and herzegovina","2020-02",0,0,0,0,0,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,55
"bosnia and herzegovina","2020-03",12,36,3.74441847,31,45,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,88
"bosnia and herzegovina","2020-03",12,36,3.74441847,31,45,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,49
"bosnia and herzegovina","2020-03",12,36,3.74441847,31,45,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,44
"bosnia and herzegovina","2020-04",30,83,16.53784835,30,90,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,86
"bosnia and herzegovina","2020-04",30,83,16.53784835,30,90,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,40
"bosnia and herzegovina","2020-04",30,83,16.53784835,30,90,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,35
"bosnia and herzegovina","2020-05",20,40,27.45906878,31,72,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,NA
"bosnia and herzegovina","2020-05",20,40,27.45906878,31,72,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,NA
"bosnia and herzegovina","2020-05",20,40,27.45906878,31,72,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,NA
"bosnia and herzegovina","2020-06",0,0,9.67308108,30,60,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,NA
"bosnia and herzegovina","2020-06",0,0,9.67308108,30,60,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,NA
"bosnia and herzegovina","2020-06",0,0,9.67308108,30,60,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,NA
"bosnia and herzegovina","2020-07",0,0,44.93302163,4,35,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,NA
"bosnia and herzegovina","2020-07",0,0,44.93302163,4,35,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,NA
"bosnia and herzegovina","2020-07",0,0,44.93302163,4,35,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,NA
"bosnia and herzegovina","2020-08",0,0,84.24941345,0,31,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,NA
