"Entity","Month","Total_lockdown_length","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support","Monthly_workplace_closures_severity","Violence_Value"
"Albania","2020-01",0,0,0,0,0,NA
"Albania","2020-02",0,0,0,0,0,NA
"Albania","2020-03",19,38,3.53661568,13,42,NA
"Albania","2020-04",30,60,7.07323136,46,60,NA
"Albania","2020-05",31,62,1.06098471,56,62,NA
"Albania","2020-06",30,30,7.78055448,30,60,NA
"Albania","2020-07",31,31,33.59784928,31,62,NA
"Albania","2020-08",31,31,44.20769646,31,62,NA
"Bosnia and Herzegovina","2020-01",0,0,0,0,0,NA
"Bosnia and Herzegovina","2020-02",0,0,0,0,0,NA
"Bosnia and Herzegovina","2020-03",12,36,3.74441847,31,45,NA
"Bosnia and Herzegovina","2020-04",30,83,16.53784835,30,90,NA
"Bosnia and Herzegovina","2020-05",20,40,27.45906878,31,72,NA
"Bosnia and Herzegovina","2020-06",0,0,9.67308108,30,60,NA
"Bosnia and Herzegovina","2020-07",0,0,44.93302163,4,35,NA
"Bosnia and Herzegovina","2020-08",0,0,84.24941345,0,31,NA
"Chile","2020-01",0,0,0,0,0,NA
"Chile","2020-02",0,0,0,0,0,NA
"Chile","2020-03",7,14,0.409144696,0,37,NA
"Chile","2020-04",30,60,10.637762405,29,60,NA
"Chile","2020-05",31,86,39.94275178,31,79,NA
"Chile","2020-06",30,90,234.13305904,45,90,NA
"Chile","2020-07",31,93,194.4460235,62,93,NA
"Chile","2020-08",31,93,95.4841467,62,93,NA
"Croatia","2020-01",0,0,0,0,0,NA
"Croatia","2020-02",0,0,0,0,0,NA
"Croatia","2020-03",12,24,1.53570988,15,48,NA
"Croatia","2020-04",30,60,15.6130503,60,86,NA
"Croatia","2020-05",31,41,9.21425914,62,41,NA
"Croatia","2020-06",30,30,1.02380658,60,49,NA
"Croatia","2020-07",31,31,9.4702107,62,62,NA
"Croatia","2020-08",31,31,10.2380658,62,62,NA
"Czechia","2020-01",0,0,0,0,0,NA
"Czechia","2020-02",0,0,0,0,0,NA
"Czechia","2020-03",17,34,2.623400814,2,56,NA
"Czechia","2020-04",30,50,19.300734654,60,79,NA
"Czechia","2020-05",31,31,7.870202524,62,55,NA
"Czechia","2020-06",0,0,2.623400778,60,30,NA
"Czechia","2020-07",0,0,3.185558096,62,31,NA
"Czechia","2020-08",0,0,4.309872778,62,31,NA
"Eswatini","2020-01",0,0,0,0,0,NA
"Eswatini","2020-02",0,0,0,0,0,NA
"Eswatini","2020-03",5,10,0,0,5,NA
"Eswatini","2020-04",30,60,0.82043004,0,58,NA
"Eswatini","2020-05",31,62,0.82043004,0,62,NA
"Eswatini","2020-06",30,60,7.38387034,0,60,NA
"Eswatini","2020-07",31,62,23.79247104,0,62,NA
"Eswatini","2020-08",31,48,41.84193234,0,48,NA
"Georgia","2020-01",0,0,0,0,0,NA
"Georgia","2020-02",0,0,0,0,0,NA
"Georgia","2020-03",23,33,0,0,49,NA
"Georgia","2020-04",30,90,1.581141,7,86,NA
"Georgia","2020-05",31,78,1.581141,31,62,NA
"Georgia","2020-06",30,44,0.7905705,30,60,NA
"Georgia","2020-07",31,31,0.527047,31,62,NA
"Georgia","2020-08",31,31,0.527047,31,62,NA
"Greece","2020-01",0,0,0,0,0,NA
"Greece","2020-02",0,0,0,0,0,NA
"Greece","2020-03",9,18,4.03364132,14,40,NA
"Greece","2020-04",30,60,8.8355953,30,60,NA
"Greece","2020-05",31,60,4.32175856,31,35,NA
"Greece","2020-06",30,30,1.15246893,60,30,NA
"Greece","2020-07",31,31,1.05642992,62,31,NA
"Greece","2020-08",31,31,6.05046202,62,31,NA
"Guatemala","2020-01",0,0,0,0,0,NA
"Guatemala","2020-02",0,0,0,0,0,NA
"Guatemala","2020-03",10,20,0.056029227,0,45,NA
"Guatemala","2020-04",30,60,1.008525608,10,87,NA
"Guatemala","2020-05",31,62,4.314249875,31,90,NA
"Guatemala","2020-06",30,60,35.69061697,30,90,NA
"Guatemala","2020-07",31,62,63.87331895,31,88,NA
"Guatemala","2020-08",31,62,48.91351465,31,62,NA
"Guyana","2020-01",0,0,0,0,0,NA
"Guyana","2020-02",0,0,0,0,0,NA
"Guyana","2020-03",6,6,1.2171551,0,12,NA
