"Entity","Month","Total_lockdown_length","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support","Monthly_workplace_closures_severity","Region","Sub.region","Indicator","n_missing","Violence_Value","Population","Violence_per_million_people"
"albania","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,112,2877239,38.9262066863406
"albania","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,81,2877239,28.1519887642285
"albania","2019-12",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,113,2877239,39.2737621031829
"albania","2020-01",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,111,2877239,38.5786512694983
"albania","2020-02",0,0,0,0,0,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,90,2877239,31.2799875158094
"albania","2020-03",19,38,3.53661568,13,42,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,90,2877239,31.2799875158094
"albania","2020-04",30,60,7.07323136,46,60,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,96,2877239,33.3653200168634
"albania","2020-05",31,62,1.06098471,56,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,127,2877239,44.1395379389755
"albania","2020-06",30,30,7.78055448,30,60,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,159,2877239,55.26131127793
"albania","2020-07",31,31,33.59784928,31,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,158,2877239,54.9137558610877
"albania","2020-08",31,31,44.20769646,31,62,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,174,2877239,60.4746425305649
"bosnia and herzegovina","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,109,3277152,33.2605872416049
"bosnia and herzegovina","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,30,3277152,9.15429006649676
"bosnia and herzegovina","2019-10",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,27,3277152,8.23886105984709
"bosnia and herzegovina","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,104,3277152,31.7348722305221
"bosnia and herzegovina","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,32,3277152,9.76457607092988
"bosnia and herzegovina","2019-11",NA,NA,NA,NA,NA,"Europe","Southern Europe","Physical asault by IPFM* (domestic violence): Female victims",4,30,3277152,9.15429006649676
