"Entity","Month","Total_lockdown_length","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support"
"Albania","2020-01",0,0,0,0
"Albania","2020-02",0,0,0,0
"Albania","2020-03",19,38,3.53661568,13
"Albania","2020-04",30,60,7.07323136,46
"Albania","2020-05",31,62,1.06098471,56
"Albania","2020-06",30,30,7.78055448,30
"Albania","2020-07",31,31,33.59784928,31
"Albania","2020-08",31,31,44.20769646,31
"Bosnia and Herzegovina","2020-01",0,0,0,0
"Bosnia and Herzegovina","2020-02",0,0,0,0
"Bosnia and Herzegovina","2020-03",12,36,3.74441847,31
"Bosnia and Herzegovina","2020-04",30,83,16.53784835,30
"Bosnia and Herzegovina","2020-05",20,40,27.45906878,31
"Bosnia and Herzegovina","2020-06",0,0,9.67308108,30
"Bosnia and Herzegovina","2020-07",0,0,44.93302163,4
"Bosnia and Herzegovina","2020-08",0,0,84.24941345,0
"Chile","2020-01",0,0,0,0
"Chile","2020-02",0,0,0,0
"Chile","2020-03",7,14,0.409144696,0
"Chile","2020-04",30,60,10.637762405,29
"Chile","2020-05",31,86,39.94275178,31
"Chile","2020-06",30,90,234.13305904,45
"Chile","2020-07",31,93,194.4460235,62
"Chile","2020-08",31,93,95.4841467,62
"Croatia","2020-01",0,0,0,0
"Croatia","2020-02",0,0,0,0
"Croatia","2020-03",12,24,1.53570988,15
"Croatia","2020-04",30,60,15.6130503,60
"Croatia","2020-05",31,41,9.21425914,62
"Croatia","2020-06",30,30,1.02380658,60
"Croatia","2020-07",31,31,9.4702107,62
"Croatia","2020-08",31,31,10.2380658,62
"Czechia","2020-01",0,0,0,0
"Czechia","2020-02",0,0,0,0
"Czechia","2020-03",17,34,2.623400814,2
"Czechia","2020-04",30,50,19.300734654,60
"Czechia","2020-05",31,31,7.870202524,62
"Czechia","2020-06",0,0,2.623400778,60
"Czechia","2020-07",0,0,3.185558096,62
"Czechia","2020-08",0,0,4.309872778,62
"Eswatini","2020-01",0,0,0,0
