"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M12",859.814,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M12",843.707,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M12",301.252,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M12",558.562,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M12",859.814,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M12",301.252,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M12",432.529,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M12",109.927,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M12",16.106,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M12",859.814,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 15-24","2020M12",301.252,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 25-34","2020M12",187.486,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 35-44","2020M12",115.568,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 45-54","2020M12",129.475,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 55-64","2020M12",109.927,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 65+","2020M12",16.106,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15+","2020M11",865.689,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-64","2020M11",851.173,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 15-24","2020M11",306.256,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Youth, adults): 25+","2020M11",559.434,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): Total","2020M11",865.689,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 15-24","2020M11",306.256,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 25-54","2020M11",434.143,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 55-64","2020M11",110.774,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (Aggregate bands): 65+","2020M11",14.516,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): Total","2020M11",865.689,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 15-24","2020M11",306.256,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 25-34","2020M11",180.912,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 35-44","2020M11",132.632,,,"Frequency: Monthly",
"Australia","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Total","Age (10-year bands): 45-54","2020M11",120.599,,,"Frequency: Monthly",
