country,year_month,lockdown,lockdown_length
GREECE,2020-01,none,0
GREECE,2020-02,none,0
GREECE,2020-03,full,7
GREECE,2020-04,full,30
GREECE,2020-05,full,4
GREECE,2020-06,none,0
GREECE,2020-07,none,0
GREECE,2020-08,none,0
SPAIN,2020-01,none,0
SPAIN,2020-02,none,0
SPAIN,2020-03,partial,16
SPAIN,2020-04,full,26
SPAIN,2020-05,partial,30
SPAIN,2020-06,partial,21
SPAIN,2020-07,none,0
SPAIN,2020-08,none,0
NEW ZEALAND,2020-01,none,0
NEW ZEALAND,2020-02,none,0
NEW ZEALAND,2020-03,none,0
NEW ZEALAND,2020-04,none,0
NEW ZEALAND,2020-05,none,0
NEW ZEALAND,2020-06,none,0
NEW ZEALAND,2020-07,none,0
NEW ZEALAND,2020-08,none,0
