description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"Chile, the Regional Secretariat of the Ministry of Health of the Aysen region enforces a lockdown in Carleta Tortel from March 14 for 14 days.",2020-03-14,2020-03-14,2020-03-28,Chile,Municipal,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",14
Chile puts the Isla de Pascua into a preventive quarantine from March 19. The quarantine has been extended until April 17. UPDATE: The original quarantine was has been extended to April 17.,2020-03-19,2020-03-19,2020-04-17,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",29
Chile puts Easter Island into a preventive lockdown from March 20 for 14 days.,2020-03-19,2020-03-20,2020-04-03,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",14
"Chile, The City Council enforces a lockdown in the commune Huasco in the region of Atacama, from March 21 for an indefinite period.",2020-03-20,2020-03-21,NA,Chile,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",NA
"Chile announces on March 22 that people must remain in their main place of residence. Traveling to other places of residence is prohibited. Those who are currently away from their habitual residence must return no later than March 24, 2020, at 10:00 p.m. This policy will be enforced for an indefinite period of time until epidemiological conditions allow its suspension.",2020-03-22,2020-03-22,NA,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",NA
Chile is enforcing a lockdown for all residents of Puerto Williams starting on March 23 until epidemiological conditions change.,2020-03-22,2020-03-23,2020-04-06,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents +Foreign Residents),Mandatory (Unspecified/Implied),14
"Romania, March 22, 2020:
The Romanian National Institute of Public Health / National Center for Surveillance and Control of Communicable Diseases (CNSCBT) provides a list of countries/regions affected by quarantine measures. These include: The Chinese Hubei Region; Italy; the South Korean city of Daegu and county of Cheongdo; Iran. All travellers from these places are quarantined for 14 days upon arrival in spaces specially designed for this purpose (red zone). Additionally, those from countries with over 500 confirmed cases of Covid-19 infections (yellow zone) need to enter self-isolation for 14 days upon arrival. The current yellow zone countries are: Australia; Austria; Belgium; Brazil; Canada; Czech Republic; Chile; all other places in South Korea and China; Denmark; Ecuador; Switzerland; Finland; France; Germany; Greece; Ireland; Israel; Japan; Malaysia; UK; Norway; Netherlands; Pakistan; Poland; Portugal; Spain; USA; Sweden; Turkey. The ending of this policy depends on decreasing infection transmission rates. UPDATE: From March 23, Saudi-Arabia, Indonesia and Iceland are added to the list of yellow zone countries.",2020-03-23,2020-03-23,2020-03-23,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",0
"Chile is enforcing a quarantine for Lo Barnechea, Vitacura, Las Condes, Providencia, Santiago, Ñuñoa and Independencia beginning on March 26. The total quarantine for all listed communes ends on April 13, except for Las Condes which ends on April 16. In addition, parts of Ñuñoa and Santiago stay in quarantine until April 23. UPDATE: The quarantines for parts of Nunoa and Santiago has been extended to April 23.",2020-03-25,2020-03-25,2020-04-23,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),29
"Chile is enforcing a quarantine for Lo Barnechea, Vitacura, Las Condes, Providencia, Santiago, Ñuñoa and Independencia beginning on March 26. The total quarantine for all listed communes ends on April 13, except for Las Condes which ends on April 16. In addition, parts of Ñuñoa and Santiago stay in quarantine until April 16.
 UPDATE: The total quarantines in the communes has been extended to the following dates:
Las Condes - April 16
Lo Barnechea, Vitacura, Providencia, Ñuñoa, Santiago: April 13
Parts of Ñuñoa and Santiago stay in quarantine until April 16",2020-03-25,2020-03-25,2020-04-16,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),22
Chile enforces a lockdown in the commune of Santiago from March 26 for 7 days.,2020-03-25,2020-03-26,2020-04-02,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
Chile enforces a lockdown in the commune of Lo Barnechea from March 26 for 7 days.,2020-03-26,2020-03-26,2020-04-02,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",7
Chile enforces a lockdown in the commune of Las Condes from March 26 for 7 days.,2020-03-26,2020-03-26,2020-04-02,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",7
"Chile enforces a lockdown in the commune of Vitacura from March 26 for 7 days.
",2020-03-26,2020-03-26,2020-04-02,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",7
Chile enforces a lockdown in the commune of Ñuñoa from March 26 for 7 days.,2020-03-26,2020-03-26,2020-04-02,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",7
Chile enforces a lockdown in the commune of Independencia from March 26 for 7 days.,2020-03-26,2020-03-26,2020-04-02,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",7
Chile enforces a lockdown in the commune of Providencia from March 26 for 7 days.,2020-03-26,2020-03-26,2020-04-02,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",7
Chile is enforcing a two-week lockdown in Temuco beginning on March 28 for 7 days.,2020-03-27,2020-03-28,2020-04-04,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
Chile enforces a lockdown in Padre de las Casas from March 28 for 7 days.,2020-03-27,2020-03-28,2020-04-04,Chile,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),7
Chile enforces a one-week lockdown for the communes Chillán and Chillán Viejo beginning on March 30 and ending on April 6.,2020-03-30,2020-03-30,2020-04-06,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
Chile is enforcing a one-week lockdown for the commune Osorno beginning on March 30 and ending on April 6.,2020-03-29,2020-03-30,2020-04-06,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
Chile is enforcing a one-week lockdown on Punta Arenas beginning on April 1 and ending on April 8.,2020-04-01,2020-04-01,2020-04-08,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
Chile enforces a lockdown in the commune of Santiago from March 26 for 7 days. The lockdown has been extended to April 9. UPDATE: The lockdown has been extended to April 9.,2020-04-01,2020-04-03,2020-04-09,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
Chile enforces a lockdown in the commune of Las Condes from March 26 for 7 days. The lockdown has been extended until April 9. UPDATE: The lockdown set on March 26 has been extended until April 9.,2020-04-01,2020-04-03,2020-04-09,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
Chile enforces a lockdown in the commune of Lo Barnechea from March 26 for 7 days. The lockdown has been extended until April 9. UPDATE: The lockdown set on March 26 has been extended until April 9.,2020-04-01,2020-04-03,2020-04-09,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
"Chile enforces a lockdown in the commune of Vitacura from March 26 for 7 days. The lockdown has been extended until April 9.
 UPDATE: The lockdown set on March 26 has been extended until April 9.",2020-04-01,2020-04-03,2020-04-09,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
Chile enforces a lockdown in the commune of Providencia from March 26 for 7 days. The lockdown has been extended until April 9. UPDATE: The lockdown set on March 26 has been extended until April 9.,2020-04-01,2020-04-03,2020-04-09,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
Chile enforces a lockdown in the commune of Ñuñoa from March 26 for 7 days. The lockdown has been extended until April 9. UPDATE: The lockdown set on March 26 has been extended until April 9.,2020-04-01,2020-04-03,2020-04-09,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
Chile enforces a lockdown in Padre de las Casas from March 28 for 7 days. The lockdown has been extended to April 11. UPDATE: The lockdown enforced in Padre de las Casas from March 28 has been extended to April 11.,2020-04-02,2020-04-03,2020-04-11,Chile,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),8
"Chile puts Easter Island into a preventive lockdown from March 20 for 14 days. The lockdown has been extended until April 17. UPDATE: The original lockdown enforced from March 20, has been extended to April 17.",2020-04-01,2020-04-04,2020-04-17,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",13
Chile is enforcing a two-week lockdown in Temuco beginning on March 28 for 7 days. The lockdown has been extended until April 11. UPDATE: The lockdown has been extended until April 11.,2020-04-02,2020-04-05,2020-04-11,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile is enforcing a one-week lockdown in San Pedro de la Paz beginning on April 6 and ending on April 13.,2020-04-05,2020-04-06,2020-04-13,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
Chile is enforcing a one-week lockdown in Hualpén from April 6 to April 13.,2020-04-05,2020-04-06,2020-04-13,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
Chile is enforcing a lockdown on Puerto Williams starting on March 23. The lockdown will end on April 6. UPDATE: It has been declared that the lockdown will end on April 6.,2020-04-05,2020-04-06,2020-04-06,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents +Foreign Residents),Mandatory (Unspecified/Implied),0
Chile puts Easter Island into a preventive lockdown from March 20 for 14 days. Chile suspends the lockdown on Eastar Island from April 6. UPDATE: The lockdown enforced on Easter Island from March 20 is suspended on April 6.,2020-04-05,2020-04-06,2020-04-06,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",0
Chile is enforcing a one-week lockdown in the commune Osorno beginning on March 30 and ending on April 6. The lockdown has been extended to April 13. UPDATE: The original lockdown has been extended to April 13.,2020-04-05,2020-04-07,2020-04-13,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile enforces a one-week lockdown in the communes Chillán and Chillán Viejo beginning on March 30 and ending on April 6. The original lockdown has been extended to April 13. UPDATE: The original lockdown has been extended to April 13.,2020-04-05,2020-04-07,2020-04-13,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile is enforcing a one-week lockdown in Nueva Imperial from April 9 for 7 days.,2020-04-07,2020-04-09,2020-04-15,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
"Chile is enforcing a quarantine for parts of Puente Alto (poniente del eje Vicuña Mackenna y el centro de Puente Alto, la avenida Concha y Toro) beginning on April 9 and ending on July 3. UPDATE: The quarantine has been extended to July 3.",2020-04-09,2020-04-09,2020-07-03,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),85
"Chile is enforcing a quarantine for parts of Puente Alto (poniente del eje Vicuña Mackenna y el centro de Puente Alto, la avenida Concha y Toro) beginning on April 9 and ending on June 26. UPDATE: The quarantine has been extended to June 26.",2020-04-09,2020-04-09,2020-06-26,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),78
"Chile is enforcing a quarantine for parts of Puente Alto (poniente del eje Vicuña Mackenna y el centro de Puente Alto, la avenida Concha y Toro) beginning on April 9 and ending on June 19. UPDATE: The quarantine has been extended to June 19.",2020-04-09,2020-04-09,2020-06-19,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),71
"Chile is enforcing a quarantine for parts of Puente Alto (poniente del eje Vicuña Mackenna y el centro de Puente Alto, la avenida Concha y Toro) beginning on April 9 and ending on June 12. UPDATE: The quarantine has been extended to June 12.",2020-04-09,2020-04-09,2020-06-12,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),64
"Chile is enforcing a quarantine for parts of Puente Alto (poniente del eje Vicuña Mackenna y el centro de Puente Alto, la avenida Concha y Toro) beginning on April 9 and ending on June 5. UPDATE: Puente Alto will stay in quarantine until June 5.",2020-04-09,2020-04-09,2020-06-05,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),57
"Chile is enforcing a quarantine for parts of Puente Alto (poniente del eje Vicuña Mackenna y el centro de Puente Alto, la avenida Concha y Toro) beginning on April 9 and ending on May 29. UPDATE: The quarantine has been extended to May 29.",2020-04-09,2020-04-09,2020-05-29,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),50
"Chile is enforcing a quarantine for parts of Puente Alto (poniente del eje Vicuña Mackenna y el centro de Puente Alto, la avenida Concha y Toro) beginning on April 9 and ending on May 22. UPDATE: The quarantine has been extended to May 22.",2020-04-09,2020-04-09,2020-05-22,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),43
"Chile is enforcing a quarantine for parts of Puente Alto (poniente del eje Vicuña Mackenna y el centro de Puente Alto, la avenida Concha y Toro) beginning on April 9 and ending on May 15. UPDATE: The quarantine has been extended to May 15.",2020-04-09,2020-04-09,2020-05-15,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),36
Chile is enforcing a one-week lockdown in Punta Arenas beginning on April 1 and ending on April 8. The lockdown has been extended to April 16. UPDATE: The lockdown has been extended to April 16.,2020-04-07,2020-04-09,2020-04-16,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
"Chile enforces a lockdown in the commune of Santiago from March 26 for 7 days. The lockdown has been extended until April 13.
 UPDATE: The lockdown has been extended until April 13.",2020-04-07,2020-04-10,2020-04-13,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",3
Chile enforces a lockdown in the commune of Las Condes from March 26 for 7 days. The lockdown has been extended until April 16. UPDATE: The lockdown set on March 26 has been extended until April 16.,2020-04-07,2020-04-10,2020-04-16,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
Chile enforces a lockdown in the commune of Lo Barnechea from March 26 for 7 days. The lockdown has been extended until April 13. UPDATE: The lockdown set on March 26 has been extended until April 13.,2020-04-07,2020-04-10,2020-04-13,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",3
"Chile enforces a lockdown in the commune of Vitacura from March 26 for 7 days. The lockdown has been extended until April 13.
 UPDATE: The lockdown set on March 26 has been extended until April 13.",2020-04-07,2020-04-10,2020-04-13,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",3
Chile enforces a lockdown in the commune of Providencia from March 26 for 7 days. The lockdown has been extended until April 13. UPDATE: The lockdown set on March 26 has been extended until April 13.,2020-04-07,2020-04-10,2020-04-13,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",3
Chile enforces a lockdown in the commune of Ñuñoa from March 26 for 7 days. The lockdown has been extended until April 13. UPDATE: The lockdown set on March 26 has been extended until April 13.,2020-04-07,2020-04-10,2020-04-13,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",3
Chile is enforcing a two-week lockdown in Temuco beginning on March 28 for 7 days. The lockdown has been extended to April 16. UPDATE: The lockdown has been extended to April 16.,2020-04-07,2020-04-12,2020-04-16,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),4
Chile enforces a lockdown in Padre de las Casas from March 28 for 7 days. The lockdown has been extended to April 16. UPDATE: The lockdown enforced on March 28 in Padre de las Casas has been extended to April 16.,2020-04-07,2020-04-12,2020-04-16,Chile,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),4
"Chile enforces a lockdown in the northern part of the commune of Santiago from April 13 to April 16. The northern area of the commune of Santiago will be defined as the area located north of the axis composed of Manuel Antonio Matta Avenue Almirante Manuel Blanco Encalada Avenue, Arica and 5 de Abril.",2020-04-07,2020-04-13,2020-04-16,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",3
Chile enforces a lockdown in the northern part of the commune of Ñuñoa from April 13 until April 16. The northern part of the commune of Ñuñoa will be understood as that part located north of Grecia Avenue. (There was a previous lockdown in the whole commune from March 26 to April 13).,2020-04-07,2020-04-13,2020-04-16,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",3
Chile is enforcing a one-week lockdown for all residents for San Pedro de la Paz beginning on April 6 and ending on April 13. The lockdown has been extended to April 16. UPDATE: The lockdown has been extended to April 16.,2020-04-12,2020-04-14,2020-04-16,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
Chile is enforcing a one-week lockdown for Hualpén from April 6 to April 13. The lockdown has been extended to April 16. UPDATE: The original lockdown has been extended to April 16.,2020-04-07,2020-04-14,2020-04-16,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
Chile is enforcing a one-week lockdown in the commune Osorno beginning on March 30 and ending on April 6. The lockdown has been extended to April 16. UPDATE: The lockdown has been extended to April 16.,2020-04-07,2020-04-14,2020-04-16,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
Chile enforces a one-week lockdown in the communes Chillán and Chillán Viejo beginning on March 30 and ending on April 6. The lockdown has been extended to April 16. UPDATE: The lockdown has been extended to April 16.,2020-04-07,2020-04-14,2020-04-16,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
Chile is enforcing a lockdown in the commune of El Bosque beginning on April 16 for 7 days.,2020-04-14,2020-04-16,2020-04-23,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",7
Chile is enforcing a lockdown in the commune of Arica beginning on April 16 for 7 days.,2020-04-14,2020-04-16,2020-04-23,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",7
"Chile is enforcing a quarantine for El Bosque, Arica and parts of San Bernardo beginning on April 16 and ending on May 15. UPDATE: The quarantines have been extended to May 15.",2020-04-14,2020-04-16,2020-05-15,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),29
"Chile enforces a lockdown in the northern part of the commune of Santiago from April 13 to April 16. The northern area of the commune of Santiago will be defined as the area located north of the axis composed of Manuel Antonio Matta Avenue Almirante Manuel Blanco Encalada Avenue, Arica and 5 de Abril. The lockdown has been extended until April 23. UPDATE: The lockdown set on April 13 has been extended until April 23.",2020-04-14,2020-04-17,2020-04-23,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
Chile is enforcing a two-week lockdown in Temuco beginning on March 28 for 7 days. The lockdown was extended to April 23. UPDATE: The lockdown has been extended to April 23.,2020-04-16,2020-04-17,2020-04-23,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile is enforcing a one-week lockdown in the commune Osorno beginning on March 30 and ending on April 6. The lockdown has been extended to April 23. UPDATE: The lockdown has been extended to April 23.,2020-04-16,2020-04-17,2020-04-23,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile enforces a one-week lockdown in the communes Chillán and Chillán Viejo beginning on March 30 and ending on April 6. The lockdown has been extended to April 23. UPDATE: The lockdown has been extended to April 23.,2020-04-16,2020-04-17,2020-04-23,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile is enforcing a one-week lockdown in Punta Arenas beginning on April 1 and ending on April 8. The lockdown has been extended to April 23. UPDATE: The lockdown has been extended to April 23.,2020-04-16,2020-04-17,2020-04-23,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile enforces a lockdown in the western area of the commune of Puente Alto from April 9 for 7 days. The western area of the commune of Puente Alto is the area located on the west of the axis composed of Vicuña Mackenna Avenue and Concha y Toro Avenue. The lockdown has been extended to April 23. UPDATE: The lockdown has been extended to April 23.,2020-04-16,2020-04-17,2020-04-23,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile enforces a lockdown in the northern part of the commune of Ñuñoa from April 13 until April 16. The northern part of the commune of Ñuñoa will be understood as that part located north of Grecia Avenue. (There was a previous lockdown in the whole commune from March 26 to April 13). The lockdown has been extended until April 23. UPDATE: The lockdown set on April 13 has been extended until April 23.,2020-04-14,2020-04-17,2020-04-23,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
Chile is enforcing a one-week lockdown in Pedro Aguirre Cerda beginning on April 23 and ending on April 30.,2020-04-21,2020-04-23,2020-04-30,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
Chile is enforcing a one-week lockdown in Quinta Normal beginning on April 23 and ending on April 30.,2020-04-21,2020-04-23,2020-04-30,Chile,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),7
"Chile is enforcing a one-week lockdown in the southern part of the commune of Independencia beginning on April 23 for 7 days. The southern area of the commune of Independencia is the area located south of the axis made up of Enrique Soro street up to Gamero street, Gamero and Santos Dumont street.",2020-04-21,2020-04-23,2020-05-07,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
"Chile enforces a lockdown in the northern part of the commune of Santiago from April 13 to April 16. The northern area of the commune of Santiago will be defined as the area located north of the axis composed of Manuel Antonio Matta Avenue Almirante Manuel Blanco Encalada Avenue, Arica and 5 de Abril. The lockdown has been extended until April 30. UPDATE: The lockdown set on April 13 has been extended until April 30.",2020-04-21,2020-04-24,2020-04-30,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
Chile is enforcing a two-week lockdown in Temuco beginning on March 28 for 7 days. The lockdown has been extended to April 30. UPDATE: The lockdown has been extended to April 30.,2020-04-23,2020-04-24,2020-04-30,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile is enforcing a lockdown in the commune Osorno beginning on March 30 and ending on April 6. The lockdown has been extended to April 30. UPDATE: The lockdown has been extended to April 30.,2020-04-21,2020-04-24,2020-04-30,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile is enforcing a lockdown in Punta Arenas beginning on April 1 and ending on April 8. The lockdown has been extended to April 30. UPDATE: The lockdown has been extended to April 30.,2020-04-23,2020-04-24,2020-04-30,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile enforces a lockdown in the western area of the commune of Puente Alto from April 9 for 7 days. The western area of the commune of Puente Alto is the area located on the west of the axis composed of Vicuña Mackenna Avenue and Concha y Toro Avenue. The lockdown has been extended to April 30. UPDATE: The lockdown has been extended to April 30.,2020-04-23,2020-04-24,2020-04-30,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile is enforcing a lockdown in the north-eastern area of the commune of San Bernardo from April 16 for 7 days. The north-east area of the commune of San Bernardo is the area located north of the axis of Colón Avenue and Balmaceda Avenue and east of the Central Highway - Route 5 South. The lockdown has been extended to April 30. UPDATE: The lockdown has been extended to April 30.,2020-04-21,2020-04-24,2020-04-30,Chile,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
Chile is enforcing a lockdown in the commune of Arica beginning on April 16 for 7 days. The lockdown has been extended until April 30. UPDATE: The lockdown set on April 16 has been extended until April 30.,2020-04-21,2020-04-24,2020-04-30,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
Chile is enforcing a lockdown in the commune of El Bosque beginning on April 16 for 7 days. The lockdown has been extended until April 30. UPDATE: The lockdown set on April 16 has been extended until April 30.,2020-04-21,2020-04-24,2020-04-30,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
Chile enforces a lockdown in the northern part of the commune of Ñuñoa from April 13 until April 16. The northern part of the commune of Ñuñoa will be understood as that part located north of Grecia Avenue. (There was a previous lockdown in the whole commune from March 26 to April 13). The lockdown has been extended until April 30. UPDATE: The lockdown set on April 12 has been extended until April 30.,2020-04-21,2020-04-24,2020-04-30,Chile,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",6
