description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"On March 22, 2020, the Croatian Ministry of Interior declared: people will be banned from leaving their place of residence as of Mar 23, 2020. 

Exempt from the measure are: those are important for transport that is necessary for supply, daily migrations, the employed in important services for healthcare and veterinary protection, delivery of medicines, sanitary materials, maintaining utilities, water supply and sewage, provision of natural gas and electricity, informing the public, journalists, citizens that require urgent medical assistance, vital family reasons, travelling to work and from work if doing a job is absolutely necessary and can’t be done from home, as well as urgent operative services that are taking part in preventing spread of the disease.

Passes will be required and signed by appropriate entities.",2020-03-22,2020-03-23,2020-05-10,Croatia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),48
"On March 26, 2020, the Croatian Ministry of Interior stated that if truck drivers are in Croatia less than 24 hours, they must remain in their trucks during their free time. If they notice any kind of symptoms they must contact their doctors.",2020-03-26,2020-03-26,2020-05-07,Croatia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),42
"On March 26, 2020, the Croatian Ministry of Interior stated that if truck drivers are in Croatia less than 24 hours, they must remain in their trucks during their free time. If they notice any kind of symptoms they must contact their doctors. UPDATE: On May 7, 2020, Croatia suspended all obligations to quarantine for truck drivers, ending this policy.",2020-03-26,2020-03-26,2020-05-07,Croatia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),42
"On March 22, 2020, the Croatian Ministry of Interior declared: people will be banned from leaving their place of residence as of Mar 23, 2020. 

Exempt from the measure are: those are important for transport that is necessary for supply, daily migrations, the employed in important services for healthcare and veterinary protection, delivery of medicines, sanitary materials, maintaining utilities, water supply and sewage, provision of natural gas and electricity, informing the public, journalists, citizens that require urgent medical assistance, vital family reasons, travelling to work and from work if doing a job is absolutely necessary and can’t be done from home, as well as urgent operative services that are taking part in preventing spread of the disease.

Passes will be required and signed by appropriate entities. UPDATE: On April 18, 2020, the Croatian Interior Minister Davor Bozinovic stated the lockdown will be extended until May 4, 2020, but the government will look at whether it was possible to gradually ease restrictions on movement.",2020-04-18,2020-04-18,2020-04-19,Croatia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),1
"On April 19, 2020, Croatia abolished the measure prohibiting leaving the place of residence and permanent residence in the following counties: Bjelovar-Bilogora, Brod-Posavina, Zagreb County, Istria, Karlovac, Koprivnica-Križevci, Međimurje, Osijek-Baranka, Požega-Slavonia, Split-Dalmatia, Šibenik-Knin, Varaždin, Virovitica-Podravina, Vukovar-Srijem, and Zadar.",2020-04-19,2020-04-19,2020-04-20,Croatia,National,1,Lockdown,NA,All Residents (Citizen Residents +Foreign Residents),Mandatory (Unspecified/Implied),1
"On April 19, 2020, Croatia stated lockdown measures are still in place for the Dubrovnik-Neretva and all Primorje-Gorski Kotar county regions except Gorski Kotar area, the islands, and Primorje area.",2020-04-19,2020-04-19,2020-04-20,Croatia,National,1,Lockdown,NA,All Residents (Citizen Residents +Foreign Residents),Mandatory (Unspecified/Implied),1
"On March 22, 2020, the Croatian Ministry of Interior declared: people will be banned from leaving their place of residence as of Mar 23, 2020. 

Exempt from the measure are: those are important for transport that is necessary for supply, daily migrations, the employed in important services for healthcare and veterinary protection, delivery of medicines, sanitary materials, maintaining utilities, water supply and sewage, provision of natural gas and electricity, informing the public, journalists, citizens that require urgent medical assistance, vital family reasons, travelling to work and from work if doing a job is absolutely necessary and can’t be done from home, as well as urgent operative services that are taking part in preventing spread of the disease. UPDATE: On April 19, 2020, Croatia repealed the lockdown order for a group of counties.",2020-04-19,2020-04-19,2020-04-19,Croatia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),0
"On April 20, 2020, Croatia repealed lockdown measures in 3 additional counties with 18 counties in total with repealed lockdown measures. These counties are Bjelovar-Bilogora, Brod-Posavina, Zagreb County, Istria, Karlovac, Koprivnica-Križevci, Međimurje, Osijek-Baranka, Požega-Slavonia, Split-Dalmatia, Šibenik-Knin, Varaždin, Virovitica-Podravina, Vukovar-Srijem, Sisak-Moslavina, Krapina-Zagorje, Lika-Senj (except the cities Udbina and Novalja), and Zadar.",2020-04-20,2020-04-20,2020-05-11,Croatia,National,1,Lockdown,NA,All Residents (Citizen Residents +Foreign Residents),Mandatory (Unspecified/Implied),21
"On April 20, 2020, Croatia added an additional region that must continue to abide by lockdown measures. These areas are: Dubrovnik-Neretva county, the cities of Udbina and Novalja in Lika-Senj county, and all Primorje-Gorski Kotar county regions except Gorski Kotar area, the islands, and Primorje area.",2020-04-20,2020-04-20,2020-05-11,Croatia,National,1,Lockdown,NA,All Residents (Citizen Residents +Foreign Residents),Mandatory (Unspecified/Implied),21
"On April 19, 2020, Croatia abolished the measure prohibiting leaving the place of residence and permanent residence in the following counties: Bjelovar-Bilogora, Brod-Posavina, Zagreb County, Istria, Karlovac, Koprivnica-Križevci, Međimurje, Osijek-Baranka, Požega-Slavonia, Split-Dalmatia, Šibenik-Knin, Varaždin, Virovitica-Podravina, Vukovar-Srijem, and Zadar. UPDATE: On April 20, 2020, Croatia announced the abolition of lockdown measures in 3 additional counties: Sisak-Moslavina, Krapina-Zagorje, and Lika-Senj (except the cities Udbina and Novalja).",2020-04-20,2020-04-20,2020-04-20,Croatia,National,1,Lockdown,NA,All Residents (Citizen Residents +Foreign Residents),Mandatory (Unspecified/Implied),0
