description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"On March 15, 2020, Czech government banned free movement to its minimum from midnight on March 16 until March 24, all individuals must stay home except for specified exemptions. The service rounds of police officers, doctors or social workers are of course also allowed, as are individual walks in parks or in the countryside.",2020-03-15,2020-03-16,2020-03-24,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Exceptions (Please list exceptions in the text entry),8
"On March 16, 2020, the Government of Czech Republic recommended for individuals over 70 years of age not to go outside their homes for the duration of the emergency, with the exception of a visit to a health facility to ensure emergency medical care.",2020-03-16,2020-03-16,NA,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,NA
"The government of Czechia announced in 18th of March 2020 that the stay-at-home order is continued, and there will be stricter the conditions for individuals who commute across the border.",2020-03-18,2020-03-18,2020-03-24,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
"As announced on 18th of March 2020,  only elderly  individuals who are over 65 can enter establishments, grocery shops, post offices and pharmacies between 10:00-12:00 as of Thursday.",2020-03-18,2020-03-19,2020-03-25,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
"On March 15, 2020, Czech government banned free movement to its minimum from midnight on March 16 until March 24, all individuals must stay home except for specified exemptions. The service rounds of police officers, doctors or social workers are of course also allowed, as are individual walks in parks or in the countryside. UPDATE: The original end date of the lockdown was set to be on March 24, 2020, it has been extended to April 1, 2020.",2020-03-23,2020-03-24,2020-04-01,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Exceptions (Please list exceptions in the text entry),8
"On March 15, 2020, Czech government banned free movement to its minimum from midnight on March 16 until March 24, all individuals must stay home except for specified exemptions. The service rounds of police officers, doctors or social workers are of course also allowed, as are individual walks in parks or in the countryside. UPDATE: This was supposed to end on April 1, 2020, but now extended to April 11, 2020.",2020-03-30,2020-04-01,2020-04-11,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Exceptions (Please list exceptions in the text entry),10
"The stay-at-home order is continued and starting from 7th of April 2020, people can do outdoor exercises alone (non-contact) without face masks in Czechia.",2020-04-06,2020-04-07,2020-04-11,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),4
"On March 15, 2020, Czech government banned free movement to its minimum from midnight on March 16 until March 24, all individuals must stay home except for specified exemptions. The service rounds of police officers, doctors or social workers are of course also allowed, as are individual walks in parks or in the countryside. UPDATE: This was supposed to end on  April 11, 2020, but now extended to April 20, 2020.",2020-04-10,2020-04-11,2020-04-20,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Exceptions (Please list exceptions in the text entry),9
"As of 24 April 2020, in Czechia free movement of people outside is possible for groups of up to and including 10 people.",2020-04-23,2020-04-24,NA,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On March 16, 2020, the Government of Czech Republic recommended for individuals over 70 years of age not to go outside their homes for the duration of the emergency, with the exception of a visit to a health facility to ensure emergency medical care. UPDATE: This policy was repealed on May 18, 2020.",2020-05-17,2020-05-17,2020-05-17,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,0
"In Czechia, starting from 25th of May 2020, visits to medical and social facilities are permitted.",2020-05-15,2020-05-25,2020-10-12,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,140
"The government of the Czech Republic prohibits the free movement of people throughout the country between 9:00 p.m. to 04:59 a.m., from 4th of October 2020 till 20th of November 2020, with the exceptions: urgent trips; travel to work; performing occupation and  serving activities; walking dogs within 500 meters of their home.",2020-09-30,2020-10-04,2020-11-20,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),47
"On October 21, 2020, Czech Republic announced further restrictions following a general meeting, to come into force on the 22nd from 6am. 'The free movement of persons throughout the Czech Republic is prohibited', although there are exceptions to this ban, including: trips to work and in connection with business, trips to see family, purchase of basic necessities and trips to healthcare facilities, to go to parks/nature, to go to holiday cottages if staying there.
The policy is slated to end on November 3, at 23:59 o'clock.",2020-10-21,2020-10-22,2020-11-03,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Exceptions (Please list exceptions in the text entry),12
"In Czechia, visits to accused in remand prisons, to serving prisoners and to inmates in pre-trial detention will be banned starting from October 23, 2020.",2020-10-16,2020-10-23,2021-04-12,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),171
"From 18 to 20 November 2020, in Czechia, the stay-at-home order is amended to allow up to 15 guests at weddings as well as to allow athletes to participate in outdoor competitions.",2020-11-16,2020-11-18,2020-11-20,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),2
"As of 16 December 2020, in Czechia the clients of old peoples homes and homes providing special treatment will be able to leave the building or grounds of the facility in which they receive social services if conditions as per article 2, numbers 1 to 3 of Government Resolution 532/2020 Sb. are met.",2020-12-14,2020-12-16,NA,Czechia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Exceptions (Please list exceptions in the text entry),NA
