description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"From 16th March, 2020, at 17:00 by the order of the Deputy Minister of Civil Protection and Crisis Management Nikos Hardalia and decision of the Secretary General of Civil Protection, the temporary imposition of a house
arrest (lockdown) of the inhabitants of the mountain villages Damaskinia and Dragasia of the Municipality of Voio Kozani and temporary removal of the possibility of moving outside the boundaries of the geographical unit of the local communities of their Municipalities. The quarantine is valid for
14 days.",2020-03-16,2020-03-16,2020-03-29,Greece,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),13
"On March 17, 2020, Migrants camps on the Greek islands have been put on lockdown for at least two weeks to prevent the spread of the new coronavirus. No volunteers will be allowed in the camps, and school classes for migrant children have been suspended.",2020-03-17,2020-03-17,NA,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"Prime Minister Kyriakos Mitsotakis announces nationwide restriction of movement in Greece from March 23 until Apr 6, movement is allowed for specific reasons workplace during normal business hours, shopping for food or medicine, visiting a doctor or assisting a person in need of help, exercising individually or in pairs or walking a pet, attending a ceremony. Exit is allowed only after sending SMS.",2020-03-22,2020-03-23,2020-04-06,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,14
"The Government of Greece announced that a lockdown will be in effect from 23rd March, 2020 to 11th April, 2020.



",2020-03-23,2020-03-23,2020-04-11,Greece,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Fines,19
"On March 23, 2020, the government of Greece is enforcing the restricting movement allowing people to travel only to and from work, shopping for essentials, helping a vulnerable relative, walking a pet or taking a run.",2020-03-23,2020-03-23,NA,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"A  lockdown is in effect March 23 – April 27, 2020 throughout Greece.  Violators will be fined 150 Euros per violation.",2020-03-23,2020-03-23,2020-04-27,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),35
"A lockdown is extended from March 23 to May 3, 2020, throughout Greece.  Violators will be fined 150 Euros per violation.  They must carry passport or other identification at all times and have a certificate of movement indicating the valid reason for being out.",2020-04-29,2020-03-23,2020-05-03,Greece,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),41
"With the consent of the special Committee and in consultation with the Regional Governor of Eastern Macedonia and Thrace, as well as the Mayor of Myki, from 25th March, 2020, 18:00 in the evening, a temporary home restriction was imposed on all the residents of the area of the community of Echinos, Municipal Community of Myki, of the Peripheral Unit of Xanthi and, without any possibility of exceptional travel. The provision of care by the Region of Eastern Macedonia and Thrace and by the Municipality of Myki for the supply and provision of basic necessities in food, medicine of the inhabitants of the community of Echinos and for any kind of assistance in case of chronically ill and distressed residents, will help Fire Services of Eastern Macedonia and Thrace. This declaration is valid for two weeks, i.e. from today at 18:00 in the evening until 7th April, 2020, when its removal or extension will be reevaluated.",2020-03-25,2020-03-25,2020-04-07,Greece,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),13
"From 16th March, 2020 at 17:00 by the order of the Deputy Minister of Civil Protection and Crisis Management Nikos Hardalia and decision of the Secretary General of Civil Protection, the temporary imposition of a house
arrest (lockdown) of the inhabitants of the mountain villages Damaskinia and Dragasia of the Municipality of Voio Kozani and temporary removal of the possibility of moving outside the boundaries of the geographical unit of the local communities of their Municipalities. The quarantine is valid for
14 days. UPDATE: The original lockdown was set to last until 29th March, 2020, it has been extended to 5th April, 2020.",2020-03-16,2020-03-30,2020-04-05,Greece,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),6
"The Department of Civil Protection has decided that the Municipal Unit of Mesopotamia of the Municipality of Kastoria is quarantined, starting 31st March, 2020. The quarantine starts at 20:00 and will last for 14 days, ie until 20:00 on April 14th, 2020. Entry and exit are prohibited, except for catering in all villages of the Municipal Unit.",2020-03-31,2020-03-31,2020-04-14,Greece,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
