description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
Lithuanian National Government announces that the nationwide quarantine was extended from 8 April to another two weeks until 27 April.,2020-04-08,2020-04-08,2020-04-27,Lithuania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),19
Lithuanian Government announces nationwide quarantine from 6 April to 27 April.,2020-04-06,2020-04-08,2020-04-27,Lithuania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),19
On 15 April the Lithuanian government announced that all residents of Nemenčinė (town of 5000 people) will be put under strict lockdown and tested for the coronavirus.,2020-04-15,2020-04-16,NA,Lithuania,NA,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA
"On 23 April, Lithuania’s government has decided that the entry and departure ban, set for Nemencine city due to Coronavirus pandemic (COVID-19) last week, should end on April 24. UPDATE: On 15 April the Lithuanian government announced that all residents of Nemenčinė will be put under strict lockdown, but this lockdown has now been set to end on 24 April.",2020-04-23,2020-04-24,2020-04-24,Lithuania,NA,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),NA,0
"On advisement of the country’s Ministry of Health, the government of Lithuania will be relaxing restrictions on leisure activities, travel (as of May 4), and will permit healthcare workers to resume regular services.",2020-04-30,2020-05-04,NA,Lithuania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On advisement of the country’s Ministry of Health, the government of Lithuania will be relaxing restrictions on leisure activities, travel (as of May 4), and will permit healthcare workers to resume regular services. UPDATE: Lithuania’s government on Wednesday declared a three-week lockdown starting on Nov.7, 2020, to slow the spread of the novel coronavirus which has accelerated in recent weeks in the Baltic nation.",2020-04-30,2020-05-04,2020-11-07,Lithuania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),187
"On Aug 7, the Govt of Lithuania published a set of COVID 19 restrictions following a three month lockdown. As part of these restrictions, it is recommended to refrain from unnecessary traveling, staying at home instead.",2020-08-07,2020-08-07,2020-10-11,Lithuania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),65
"Raseiniai District, a municipality in Lithuania's Kaunas County, is introducing a local lockdown as of October 9, 2020 to stop the spread of the coronavirus.",2020-10-06,2020-10-09,2020-10-23,Lithuania,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
"Raseiniai District, a municipality in Lithuania's Kaunas County, is introducing a local lockdown as of October 9, 2020 to stop the spread of the coronavirus. UPDATE: The original lockdown was set to last until October 23, 2020. It has been extended to November 6, 2020.",2020-10-06,2020-10-09,2020-11-06,Lithuania,Municipal,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),28
"Lithuania’s government announced quarantine in the entire territory of Lithuania from 7 November 2020, 00:00, until 17 December 2020 to slow the spread of the novel coronavirus, which has accelerated in recent weeks in the Baltic nation",2020-11-07,2020-11-11,2020-12-17,Lithuania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),36
"Lithuania’s government announced quarantine in the entire territory of Lithuania from 7 November 2020, 00:00, until 17 December 2020 to slow the spread of the novel coronavirus, which has accelerated in recent weeks in the Baltic nation. UPDATE: Lockdown has been extended to January 3, 2021 UPDATE: The original quarantine was set to last until December 17,2020,  it has been extended to January 3, 2021",2020-11-07,2020-11-11,2020-12-17,Lithuania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),36
"Lithuania extends the nationwide lockdown from January 3 to January 31 and requires everyone to stay at home except some reasons: essential purposes including shopping for groceries, essential work, to go for a walk in open spaces only with members of their household,",2021-01-04,2021-01-04,2021-01-31,Lithuania,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),27
