description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"Ulaanbaatar city had been placed under a strict lockdown or public emergency readiness from November 11 to December 14 2020, in an effort to slow the spread of COVID-19 and contain local transmission.",2020-11-11,2020-11-11,2020-12-14,Mongolia,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),33
"On November 12, the Mongolian government is enforcing a lockdown on all citizens ""to stop local transmission of COVID-19"". ""All citizens have been asked to stay home and leave only to buy food and essentials.""",2020-11-11,2020-11-12,2020-12-01,Mongolia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),19
"Mongolian authorities responded to the confirmation of the country's first locally transmitted coronavirus disease (COVID-19) case on Wednesday, November 11, by ordering a five-day nationwide lockdown from 06:00 (local time) on Thursday, November 12, through to 06:00 on Tuesday, November 17.",2020-11-11,2020-11-12,2020-11-17,Mongolia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),5
"On November 12, the Mongolian government is enforcing a lockdown on all citizens ""to stop local transmission of COVID-19"". ""All citizens have been asked to stay home and leave only to buy food and essentials."" UPDATE: The original lockdown was set to last until December 1, it has been extended to December 11""",2020-11-11,2020-11-12,2020-12-11,Mongolia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),29
"On December 21, 2020, the Mongolian government ""announced that a state of “all-out-preparedness” and associated lockdown measures would be reimposed in Ulaanbaatar beginning at 0600 on December 23 and continuing until at least 0600 on January 6.""",2020-12-21,2020-12-23,2021-01-06,Mongolia,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
"On December 21, 2020, the Mongolian government ""announced that a state of “all-out-preparedness” and associated lockdown measures would be reimposed in Ulaanbaatar beginning at 0600 on December 23 and continuing until at least 0600 on January 11."" UPDATE: The original lockdown was set to last until January 6, it has been extended to January 11.",2020-12-21,2020-12-23,2021-01-11,Mongolia,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),19
"On December 21, 2020, the Mongolian government ""announced that a state of “all-out-preparedness” and associated lockdown measures would be reimposed in Ulaanbaatar beginning at 0600 on December 23 and continuing until at least 0600 on January 6."" UPDATE: The lockdown ended on January 6,2021.",2020-12-21,2020-12-23,2021-01-06,Mongolia,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
"Mongolia is placing a strict lockdown in Ulaanbaatar from 6 am on February 11, 2021 until 6 am on February 23, 2021 during the Lunar New Year period. There will be a curfew in place between 9 pm and 7 am daily. Officials will ban all nonessential travel in and out of Ulaanbaatar during this lockdown period.",2021-02-04,2021-02-11,2021-02-23,Mongolia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),12
"As of March 15 2021, Ulaanbaatar has been placed under an “orange ” alert status, effective until 5 April 2021, under which the restriction of vehicle and pedestrian movements between 11 pm to 6 am applies (exempt are medical care, funerals, night flights, engineering supply work and special purpose transport).",2021-03-13,2021-03-15,2021-04-05,Mongolia,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),21
"On April 9, 2021, the Mongolian government ordered a lockdown in Ulaanbaatar, Mongolia, from 06:00 April 10, 2021, until April 25, 2021. Residents must remain at home except for essential reasons such as medical care or to purchase food or medicine.",2021-04-09,2021-04-10,2021-04-25,Mongolia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),15
"The Mongolian government has ordered a lockdown in Ulaanbaatar, Mongolia, from 06:00 April 10, 2021, until April 25, 2021. Residents must remain at home except for essential reasons such as medical care or to purchase food or medicine. Lockdown has been extended until 6 am on May 8, 2021.",2021-04-09,2021-04-10,2021-04-25,Mongolia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),15
Due to a rise in COVID-19 cases the Government of Mongolia has placed the country under lockdown and a “red all-out-readiness” status from 10 to 25 April.' Schools are closed during the lockdown.,2021-04-10,2021-04-10,2021-04-25,Mongolia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),15
"The Mongolian government has ordered a lockdown in Ulaanbaatar, Mongolia, from 06:00 April 10, 2021, until April 25, 2021. Residents must remain at home except for essential reasons such as medical care or to purchase food or medicine. Lockdown has been extended until 6 am on May 8, 2021. UPDATE: The original lockdown was set to last until April 25, 2021, it has been extended to May 8, 2021.",2021-04-09,2021-04-10,2021-05-08,Mongolia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),28
