description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
The Shan State government requests its residents to stay home; reported in the Irrawaddy on April 6.,2020-04-06,2020-04-06,NA,Myanmar,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,NA
The Sagaing region government (Myanmar) says its residents must stay home as much as possible from April 7 to April 21; reported on April 6 in the Irrawaddy.,2020-04-06,2020-04-07,2020-04-21,Myanmar,Provincial,1,Lockdown,NA,All Residents (Citizen Residents +Foreign Residents),Voluntary/Recommended but No Penalties,14
"The Yangon region government places several locations in townships  South Okkalapa, Mayangone, Bahan, Insein, Shwe Pyi Tar under lockdown after the latest COVID-19 infections; announced on April 14.",2020-04-14,2020-04-14,NA,Myanmar,Provincial,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),NA
"On April 18, The Ministry of Health (Myanmar) issues a stay-at-home order for seven townships in Yangon; under which only civil servants, corporate employees, delivery workers, and medical personnel will be allowed to leave their homes.",2020-04-18,2020-04-18,NA,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)",NA
"The Ministry of Health (Myanmar) announces that three townships in Yangon (Mingalardon, Tarmwe, Botahtaung) are being placed on a semi-lockdown; effective April 24. The details of this are as follows: 1. Except for government employees, corporate employees and factory workers who have to go to work, all residents are required to stay at home; 2. Only one person per household is allowed to leave the house to procure essential supplies; 3. Only two persons per household are allowed to visit a clinic or hospital; 4. All are required to wear masks upon leaving their homes; 5. Only vehicles ferrying passengers to and from their workplaces will be allowed to pass through the townships; 6. When leaving the house to procure essential goods within the ward, only one person is allowed in a vehicle other than the driver; 7. Only two persons are allowed in each vehicle, apart from the driver, when visiting a clinic or hospital; 8. Should there be a need for more than the fixed number of people or passengers to leave their homes or commute, or during emergencies,  permission is first required from the ward administrator.",2020-04-24,2020-04-24,NA,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)",NA
"The Ministry of Health (Myanmar) continues to place 5 townships in Yangon (Insein, Mayangone, Bahan, South Okkalapa, Pabedan) under semi-lockdown, with residents required to adhere to stay-at-home-measures announced on May 15.",2020-05-15,2020-05-15,NA,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",NA
"The Ministry of Health (Myanmar) announces that the township Tarmwe, will remain under a semi-lockdown; effective May 15 (it was originally implemented April 24). The details of this are as follows:    1. Except for government employees, corporate employees and factory workers who have to go to work, all residents are required to stay at home; 2. Only one person per household is allowed to leave the house to procure essential supplies; 3. Only two persons per household are allowed to visit a clinic or hospital; 4. All are required to wear masks upon leaving their homes; 5. Only vehicles ferrying passengers to and from their workplaces will be allowed to pass through the townships; 6. When leaving the house to procure essential goods within the ward, only one person is allowed in a vehicle other than the driver; 7. Only two persons are allowed in each vehicle, apart from the driver, when visiting a clinic or hospital; 8. Should there be a need for more than the fixed number of people or passengers to leave their homes or commute, or during emergencies, permission is first required from the ward administrator.",2020-05-15,2020-05-15,NA,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Unspecified/Implied)",NA
"The Ministry of Health (Myanmar) continues to place 5 townships in Yangon (Insein, Mayangone, Bahan, South Okkalapa, Pabedan) under semi-lockdown, with residents required to adhere to stay-at-home-measures announced on May 15. UPDATE: Residents of Mayangone township in Yangon are no longer under stay-home orders as of 4pm on June 15th, according to the Ministry of Health and Sports.",2020-05-15,2020-05-15,2020-06-15,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",31
"On April 18, The Ministry of Health (Myanmar) issues a stay-at-home order for seven townships in Yangon; under which only civil servants, corporate employees, delivery workers, and medical personnel will be allowed to leave their homes. This order was removed from 2 townships, Hlaing tharyar and Shwe Pyi Tar, on May 15. UPDATE: 2 of the mentioned townships that had a lockdown imposed were removed from the restriction  on May 15(the other townships have an ongoing lockdown that wiilb e coded in a different policy)",2020-05-15,2020-05-15,2020-05-15,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)",0
"The Ministry of Health (Myanmar) announces that three townships in Yangon (Mingalardon, Tarmwe, Botahtaung) are being placed on a semi-lockdown; effective April 24. The details of this are as follows: 
1. Except for government employees, corporate employees and factory workers who have to go to work, all residents are required to stay at home; 2. Only one person per household is allowed to leave the house to procure essential supplies; 3. Only two persons per household are allowed to visit a clinic or hospital; 4. All are required to wear masks upon leaving their homes; 5. Only vehicles ferrying passengers to and from their workplaces will be allowed to pass through the townships; 6. When leaving the house to procure essential goods within the ward, only one person is allowed in a vehicle other than the driver; 7. Only two persons are allowed in each vehicle, apart from the driver, when visiting a clinic or hospital; 8. Should there be a need for more than the fixed number of people or passengers to leave their homes or commute, or during emergencies,  permission is first required from the ward administrator.  These restrictions were ended for Mingalardon and Bohtahtaung on May 15, 4PM. UPDATE: The lockdown was ended for Mingalardon and Bohtahtaung (a new policy will be coded for Tarmwe) on May 15.",2020-05-15,2020-05-15,2020-05-15,Myanmar,National,1,Lockdown,NA,All (Travelers + Residents),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)",0
