Entity,year_month,monthly_avg_deaths,Indicator,violence_indicator,unemployment_rate
albania,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,111,NA
albania,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,90,NA
albania,2020-03,0.078229287,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,90,NA
albania,2020-04,0.245878992,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,96,NA
albania,2020-05,0.053782635,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,127,NA
albania,2020-06,0.19704001300000001,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,159,NA
albania,2020-07,1.012091385,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,158,NA
albania,2020-08,1.422795161290322,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,174,NA
bosnia and herzegovina,2020-01,0,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,73,NA
bosnia and herzegovina,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,38,NA
bosnia and herzegovina,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,33,NA
bosnia and herzegovina,2020-02,0,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,95,NA
bosnia and herzegovina,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,57,NA
bosnia and herzegovina,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,55,NA
bosnia and herzegovina,2020-03,0.061831795,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,88,NA
bosnia and herzegovina,2020-03,0.061831795,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,49,NA
bosnia and herzegovina,2020-03,0.061831795,Physical asault by IPFM* (domestic violence): Female victims,44,NA
bosnia and herzegovina,2020-04,0.5497757263333334,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,86,NA
bosnia and herzegovina,2020-04,0.5497757263333334,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,40,NA
bosnia and herzegovina,2020-04,0.5497757263333334,Physical asault by IPFM* (domestic violence): Female victims,35,NA
chile,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,11178,346.28925
chile,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,1222,346.28925
chile,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,4294,346.28925
chile,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,9899,362.6488125
chile,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,1124,362.6488125
chile,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,3680,362.6488125
chile,2020-03,0.008248885,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,9578,368.92375
chile,2020-03,0.008248885,Physical asault by IPFM* (domestic violence): Male victims,1035,368.92375
chile,2020-03,0.008248885,Physical asault by IPFM* (domestic violence): Female victims,3626,368.92375
chile,2020-04,0.316112997,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,7776,419.4775
chile,2020-04,0.316112997,Physical asault by IPFM* (domestic violence): Male victims,878,419.4775
chile,2020-04,0.316112997,Physical asault by IPFM* (domestic violence): Female victims,2889,419.4775
croatia,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,190,77
croatia,2020-01,0,Sexual violence by IPFM* (domestic violence): Female victims,21,77
croatia,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,43,77
croatia,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,148,77
croatia,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,222,75.33333333333333
croatia,2020-02,0,Sexual violence by IPFM* (domestic violence): Female victims,38,75.33333333333333
croatia,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,46,75.33333333333333
croatia,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,144,75.33333333333333
croatia,2020-03,0.029487516,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,209,78
croatia,2020-03,0.029487516,Sexual violence by IPFM* (domestic violence): Female victims,13,78
croatia,2020-03,0.029487516,Physical asault by IPFM* (domestic violence): Male victims,42,78
croatia,2020-03,0.029487516,Physical asault by IPFM* (domestic violence): Female victims,163,78
croatia,2020-04,0.455837688,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,190,86.33333333333333
croatia,2020-04,0.455837688,Sexual violence by IPFM* (domestic violence): Female victims,4,86.33333333333333
croatia,2020-04,0.455837688,Physical asault by IPFM* (domestic violence): Male victims,46,86.33333333333333
croatia,2020-04,0.455837688,Physical asault by IPFM* (domestic violence): Female victims,143,86.33333333333333
croatia,2020-05,0.3656452072258065,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,222,86
croatia,2020-05,0.3656452072258065,Sexual violence by IPFM* (domestic violence): Female victims,9,86
croatia,2020-05,0.3656452072258065,Physical asault by IPFM* (domestic violence): Male victims,54,86
croatia,2020-05,0.3656452072258065,Physical asault by IPFM* (domestic violence): Female victims,163,86
croatia,2020-06,0.048752695,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,292,83.66666666666667
croatia,2020-06,0.048752695,Sexual violence by IPFM* (domestic violence): Female victims,19,83.66666666666667
croatia,2020-06,0.048752695,Physical asault by IPFM* (domestic violence): Male victims,72,83.66666666666667
croatia,2020-06,0.048752695,Physical asault by IPFM* (domestic violence): Female victims,212,83.66666666666667
