"Region","Sub.region","Entity","Indicator","n_missing","Month","Violence_Value"
"Europe","Southern Europe","ALBANIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2019-10",112
"Europe","Southern Europe","ALBANIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2019-11",81
"Europe","Southern Europe","ALBANIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2019-12",113
"Europe","Southern Europe","ALBANIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-01",111
"Europe","Southern Europe","ALBANIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-02",90
"Europe","Southern Europe","ALBANIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-03",90
"Europe","Southern Europe","ALBANIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-04",96
"Europe","Southern Europe","ALBANIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-05",127
"Europe","Southern Europe","ALBANIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-06",159
"Europe","Southern Europe","ALBANIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-07",158
"Europe","Southern Europe","ALBANIA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",0,"2020-08",174
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,"2019-10",109
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,"2019-11",104
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,"2019-12",131
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,"2020-01",73
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,"2020-02",95
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,"2020-03",88
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,"2020-04",86
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,"2020-05",NA
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,"2020-06",NA
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,"2020-07",NA
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims",4,"2020-08",NA
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2019-10",30
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2019-11",32
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2019-12",34
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-01",38
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-02",57
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-03",49
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-04",40
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-05",NA
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-06",NA
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-07",NA
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-08",NA
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Physical asault by IPFM* (domestic violence): Female victims",4,"2019-10",27
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Physical asault by IPFM* (domestic violence): Female victims",4,"2019-11",30
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Physical asault by IPFM* (domestic violence): Female victims",4,"2019-12",31
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-01",33
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-02",55
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-03",44
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-04",35
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-05",NA
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-06",NA
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-07",NA
"Europe","Southern Europe","BOSNIA AND HERZEGOVINA","Physical asault by IPFM* (domestic violence): Female victims",4,"2020-08",NA
"Americas","Latin America and the Caribbean","CHILE","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2019-10",9903
"Americas","Latin America and the Caribbean","CHILE","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2019-11",9886
"Americas","Latin America and the Caribbean","CHILE","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2019-12",10883
"Americas","Latin America and the Caribbean","CHILE","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-01",11178
"Americas","Latin America and the Caribbean","CHILE","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-02",9899
"Americas","Latin America and the Caribbean","CHILE","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-03",9578
"Americas","Latin America and the Caribbean","CHILE","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-04",7776
"Americas","Latin America and the Caribbean","CHILE","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-05",NA
"Americas","Latin America and the Caribbean","CHILE","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-06",NA
"Americas","Latin America and the Caribbean","CHILE","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-07",NA
"Americas","Latin America and the Caribbean","CHILE","Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences",4,"2020-08",NA
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Male victims",4,"2019-10",1224
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Male victims",4,"2019-11",1193
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Male victims",4,"2019-12",1304
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Male victims",4,"2020-01",1222
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Male victims",4,"2020-02",1124
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Male victims",4,"2020-03",1035
"Americas","Latin America and the Caribbean","CHILE","Physical asault by IPFM* (domestic violence): Male victims",4,"2020-04",878
