Entity,year_month,monthly_avg_deaths,Indicator,violence_indicator
albania,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,111
albania,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,90
albania,2020-03,0.078229287,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,90
albania,2020-04,0.245878992,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,96
albania,2020-05,0.053782635,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,127
albania,2020-06,0.197040013,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,159
albania,2020-07,1.012091385,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,158
albania,2020-08,1.422795161290322,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,174
bosnia and herzegovina,2020-01,0,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,73
bosnia and herzegovina,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,38
bosnia and herzegovina,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,33
bosnia and herzegovina,2020-02,0,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,95
bosnia and herzegovina,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,57
bosnia and herzegovina,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,55
bosnia and herzegovina,2020-03,0.061831795,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,88
bosnia and herzegovina,2020-03,0.061831795,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,49
bosnia and herzegovina,2020-03,0.061831795,Physical asault by IPFM* (domestic violence): Female victims,44
bosnia and herzegovina,2020-04,0.5497757263333334,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,86
bosnia and herzegovina,2020-04,0.5497757263333334,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,40
bosnia and herzegovina,2020-04,0.5497757263333334,Physical asault by IPFM* (domestic violence): Female victims,35
chile,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,11178
chile,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,1222
chile,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,4294
chile,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,9899
chile,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,1124
chile,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,3680
chile,2020-03,0.008248885,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,9578
chile,2020-03,0.008248885,Physical asault by IPFM* (domestic violence): Male victims,1035
chile,2020-03,0.008248885,Physical asault by IPFM* (domestic violence): Female victims,3626
chile,2020-04,0.316112997,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,7776
chile,2020-04,0.316112997,Physical asault by IPFM* (domestic violence): Male victims,878
chile,2020-04,0.316112997,Physical asault by IPFM* (domestic violence): Female victims,2889
croatia,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,190
croatia,2020-01,0,Sexual violence by IPFM* (domestic violence): Female victims,21
croatia,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,43
croatia,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,148
croatia,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,222
croatia,2020-02,0,Sexual violence by IPFM* (domestic violence): Female victims,38
croatia,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,46
croatia,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,144
croatia,2020-03,0.029487516,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,209
croatia,2020-03,0.029487516,Sexual violence by IPFM* (domestic violence): Female victims,13
croatia,2020-03,0.029487516,Physical asault by IPFM* (domestic violence): Male victims,42
croatia,2020-03,0.029487516,Physical asault by IPFM* (domestic violence): Female victims,163
croatia,2020-04,0.455837688,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,190
croatia,2020-04,0.455837688,Sexual violence by IPFM* (domestic violence): Female victims,4
croatia,2020-04,0.455837688,Physical asault by IPFM* (domestic violence): Male victims,46
croatia,2020-04,0.455837688,Physical asault by IPFM* (domestic violence): Female victims,143
croatia,2020-05,0.3656452072258065,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,222
croatia,2020-05,0.3656452072258065,Sexual violence by IPFM* (domestic violence): Female victims,9
croatia,2020-05,0.3656452072258065,Physical asault by IPFM* (domestic violence): Male victims,54
croatia,2020-05,0.3656452072258065,Physical asault by IPFM* (domestic violence): Female victims,163
croatia,2020-06,0.048752695,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,292
croatia,2020-06,0.048752695,Sexual violence by IPFM* (domestic violence): Female victims,19
croatia,2020-06,0.048752695,Physical asault by IPFM* (domestic violence): Male victims,72
croatia,2020-06,0.048752695,Physical asault by IPFM* (domestic violence): Female victims,212
croatia,2020-07,0.2500541463225807,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,250
croatia,2020-07,0.2500541463225807,Sexual violence by IPFM* (domestic violence): Female victims,16
croatia,2020-07,0.2500541463225807,Physical asault by IPFM* (domestic violence): Male victims,55
croatia,2020-07,0.2500541463225807,Physical asault by IPFM* (domestic violence): Female victims,190
croatia,2020-08,0.3373371919354839,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,295
croatia,2020-08,0.3373371919354839,Sexual violence by IPFM* (domestic violence): Female victims,13
croatia,2020-08,0.3373371919354839,Physical asault by IPFM* (domestic violence): Male victims,65
croatia,2020-08,0.3373371919354839,Physical asault by IPFM* (domestic violence): Female victims,217
czechia,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,720
czechia,2020-01,0,Sexual violence by IPFM* (domestic violence): Male victims,27
czechia,2020-01,0,Sexual violence by IPFM* (domestic violence): Female victims,148
czechia,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,381
czechia,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,164
czechia,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,623
czechia,2020-02,0,Sexual violence by IPFM* (domestic violence): Male victims,19
czechia,2020-02,0,Sexual violence by IPFM* (domestic violence): Female victims,136
czechia,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,332
czechia,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,136
czechia,2020-03,0.044471739,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,406
czechia,2020-03,0.044471739,Sexual violence by IPFM* (domestic violence): Male victims,7
czechia,2020-03,0.044471739,Sexual violence by IPFM* (domestic violence): Female victims,90
czechia,2020-03,0.044471739,Physical asault by IPFM* (domestic violence): Male victims,218
czechia,2020-03,0.044471739,Physical asault by IPFM* (domestic violence): Female victims,91
czechia,2020-04,0.651834801,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,354
czechia,2020-04,0.651834801,Sexual violence by IPFM* (domestic violence): Male victims,8
czechia,2020-04,0.651834801,Sexual violence by IPFM* (domestic violence): Female victims,62
czechia,2020-04,0.651834801,Physical asault by IPFM* (domestic violence): Male victims,206
